company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
Cliptone,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,500 Startups,seed,NA,2013-01-01,NA
Cliptone,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,PhilQuo Ventures,seed,NA,2013-01-01,NA
Cliptone,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,Plug & Play Ventures,seed,NA,2013-01-01,NA
Cliptone,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,Visionnaire Ventures,seed,NA,2014-01-01,NA
Cliptone,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,Zelkova Ventures,seed,NA,2013-01-01,NA
Cliptone,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,Saeed Amidi,seed,NA,2013-01-01,NA
140 Proof,Advertising|Big Data Analytics|Interest Graph,BlueRun Ventures,venture,A,2009-07-01,3e+06
140 Proof,Advertising|Big Data Analytics|Interest Graph,BlueRun Ventures,venture,B,2011-04-28,2500000
140 Proof,Advertising|Big Data Analytics|Interest Graph,SV Angel,venture,B,2011-04-28,2500000
140 Proof,Advertising|Big Data Analytics|Interest Graph,Mark Kingdon,venture,B,2011-04-28,2500000
140Fire,Advertising|Entertainment|Real Time|Social Media|Sports|Video,Y Combinator,seed,NA,2010-05-05,5e+05
2100b Sausalito LLC.,Advertising|Direct Marketing|Social Media,"SEIKOURI, Inc.",seed,NA,2013-01-01,NA
24h00,Advertising|E-Commerce|Marketing Automation,Fabrice Grinda,seed,NA,2006-08-01,NA
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,First Round,seed,NA,2009-03-13,750000
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,First Round,venture,C,2012-07-19,13100000
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,First Round,venture,B,2011-01-05,9e+06
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,Flybridge Capital Partners,venture,C,2012-07-19,13100000
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,Flybridge Capital Partners,venture,B,2011-01-05,9e+06
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,Great Oaks Venture Capital,venture,C,2012-07-19,13100000
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,Metamorphic Ventures,venture,C,2012-07-19,13100000
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,Neu Venture Capital,seed,NA,2009-03-13,750000
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,Panorama Capital,venture,C,2012-07-19,13100000
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,Pelion Venture Partners,venture,C,2012-07-19,13100000
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,Rose Tech Ventures,seed,NA,2009-03-13,750000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,NA,2013-04-01,4288000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Mitsui & Co. Global Investment,venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Peacock Equity,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Peacock Equity,venture,E,2007-10-31,2.5e+08
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Selby Venture Partners,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,NA,2013-04-01,4288000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Vulcan Capital,venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Vulcan Capital,venture,D,2011-10-27,1.4e+07
5to1,Advertising|Internet|Internet Marketing,Fuse Capital,venture,NA,2009-06-17,2492516
5to1,Advertising|Internet|Internet Marketing,Fuse Capital,venture,NA,2009-12-10,6309744
5to1,Advertising|Internet|Internet Marketing,Prism Venture Management,venture,NA,2009-06-17,2492516
5to1,Advertising|Internet|Internet Marketing,Prism Venture Management,venture,NA,2009-12-10,6309744
Shoppable,Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software,500 Startups,seed,NA,2011-10-26,NA
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Camp One Ventures,undisclosed,NA,2013-05-01,NA
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Plug & Play Ventures,undisclosed,NA,2011-07-19,NA
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Plug & Play Ventures,venture,A,2012-03-08,NA
