company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
H2O.ai,Analytics,Capital One,venture,B,2015-11-09,2e+07
H2O.ai,Analytics,Nexus Venture Partners,seed,NA,2013-05-22,3e+06
H2O.ai,Analytics,Nexus Venture Partners,venture,B,2015-11-09,2e+07
H2O.ai,Analytics,Nexus Venture Partners,venture,NA,2013-01-03,1700000
H2O.ai,Analytics,Nexus Venture Partners,venture,A,2014-07-19,8900000
H2O.ai,Analytics,Transamerica,venture,B,2015-11-09,2e+07
H2O.ai,Analytics,Transamerica Ventures,venture,A,2014-07-19,8900000
H2O.ai,Analytics,Anand Babu Periasamy,venture,NA,2013-01-03,1700000
H2O.ai,Analytics,Ash Bhardwaj,venture,A,2014-07-19,8900000
H2O.ai,Analytics,Rajesh Ambati,venture,A,2014-07-19,8900000
100Plus,Analytics,Band of Angels,seed,NA,2011-11-30,750000
100Plus,Analytics,Felicis Ventures,seed,NA,2011-11-30,750000
100Plus,Analytics,Greylock Partners,seed,NA,2011-11-30,750000
140 Proof,Advertising|Big Data Analytics|Interest Graph,BlueRun Ventures,venture,A,2009-07-01,3e+06
140 Proof,Advertising|Big Data Analytics|Interest Graph,BlueRun Ventures,venture,B,2011-04-28,2500000
140 Proof,Advertising|Big Data Analytics|Interest Graph,SV Angel,venture,B,2011-04-28,2500000
140 Proof,Advertising|Big Data Analytics|Interest Graph,Mark Kingdon,venture,B,2011-04-28,2500000
1World Online,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,DEFTA Partners,venture,A,2015-08-13,2500000
[24]7,Customer Service|Predictive Analytics|Services|Software|Technology,Sequoia Capital,venture,NA,2003-07-01,NA
4C,Analytics,Jump Capital,venture,NA,2014-01-21,NA
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,NA,2013-04-01,4288000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Mitsui & Co. Global Investment,venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Peacock Equity,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Peacock Equity,venture,E,2007-10-31,2.5e+08
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,NA,2009-01-22,2e+07
