company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
10X Genomics,Biotechnology|Technology,Foresite Capital,venture,B,2015-01-12,5.5e+07
10X Genomics,Biotechnology|Technology,Paladin Capital Group,venture,B,2015-01-12,5.5e+07
10X Genomics,Biotechnology|Technology,Venrock,venture,B,2015-01-12,5.5e+07
20/20 Gene Systems Inc.,Biotechnology|Health Diagnostics,Maryland Venture Fund,venture,NA,2012-09-25,150000
23andMe,Biotechnology|Search,Casdin Capital,venture,E,2015-07-03,1.15e+08
23andMe,Biotechnology|Search,Genentech,venture,A,2007-10-03,9e+06
23andMe,Biotechnology|Search,Google,venture,B,2009-06-18,12600000
23andMe,Biotechnology|Search,Google,venture,A,2007-10-03,9e+06
23andMe,Biotechnology|Search,Google Ventures,venture,C,2010-11-09,2.2e+07
23andMe,Biotechnology|Search,Google Ventures,venture,D,2012-12-21,57949900
23andMe,Biotechnology|Search,Johnson & Johnson Development Corporation,venture,C,2010-11-09,2.2e+07
23andMe,Biotechnology|Search,Johnson & Johnson Development Corporation,venture,C,2011-01-07,9e+06
23andMe,Biotechnology|Search,Mohr Davidow Ventures,venture,A,2007-10-03,9e+06
23andMe,Biotechnology|Search,MPM Capital,venture,D,2012-12-21,57949900
23andMe,Biotechnology|Search,National Institutes of Health,grant,NA,2014-07-29,1400000
23andMe,Biotechnology|Search,New Enterprise Associates,venture,C,2010-11-09,2.2e+07
23andMe,Biotechnology|Search,New Enterprise Associates,venture,D,2012-12-21,57949900
23andMe,Biotechnology|Search,New Enterprise Associates,venture,A,2007-10-03,9e+06
23andMe,Biotechnology|Search,Stephens Investment Management,venture,A,2007-10-03,9e+06
23andMe,Biotechnology|Search,Xfund,venture,E,2015-07-03,1.15e+08
23andMe,Biotechnology|Search,Anne Wojcicki,venture,D,2012-12-21,57949900
23andMe,Biotechnology|Search,Eric Lederman,post_ipo_equity,NA,2005-11-02,1e+05
23andMe,Biotechnology|Search,Sergey Brin,venture,D,2012-12-21,57949900
23andMe,Biotechnology|Search,Sergey Brin,venture,B,2009-06-18,12600000
3-V Biosciences,Biotechnology,Kleiner Perkins Caufield & Byers,venture,C,2013-06-21,2e+07
3-V Biosciences,Biotechnology,Kleiner Perkins Caufield & Byers,venture,NA,2012-01-05,2e+07
3-V Biosciences,Biotechnology,Kleiner Perkins Caufield & Byers,venture,NA,2012-10-01,8089000
3-V Biosciences,Biotechnology,Kleiner Perkins Caufield & Byers,venture,B,2009-07-10,3e+07
3-V Biosciences,Biotechnology,Kleiner Perkins Caufield & Byers,venture,D,2014-12-30,28500000
3-V Biosciences,Biotechnology,New Enterprise Associates,venture,C,2013-06-21,2e+07
3-V Biosciences,Biotechnology,New Enterprise Associates,venture,NA,2012-01-05,2e+07
3-V Biosciences,Biotechnology,New Enterprise Associates,venture,NA,2012-10-01,8089000
3-V Biosciences,Biotechnology,New Enterprise Associates,venture,B,2009-07-10,3e+07
3-V Biosciences,Biotechnology,New Enterprise Associates,venture,D,2014-12-30,28500000
3-V Biosciences,Biotechnology,Rock Springs Capital,venture,D,2014-12-30,28500000
3-V Biosciences,Biotechnology,The Column Group,venture,B,2009-07-10,3e+07
3D Biomatrix,Biotechnology,Ann Arbor SPARK,venture,NA,2009-10-05,NA
3DR Laboratories,Biotechnology,Advantage Capital Partners,venture,NA,2012-08-23,7200000
3Scan,Biotechnology,Data Collective,venture,A,2014-12-05,6673012
3Scan,Biotechnology,Dolby Family Ventures,venture,A,2014-12-05,6673012
3Scan,Biotechnology,Lux Capital,venture,A,2014-12-05,6673012
3Scan,Biotechnology,Iron Yard Ventures,seed,NA,2013-07-16,NA
3Scan,Biotechnology,Thiel Foundation,grant,NA,2012-04-23,350000
480 Biomedical,Biotechnology,Broadview Ventures,venture,C,2015-06-19,1200000
480 Biomedical,Biotechnology,Intersouth Partners,venture,A,2012-02-14,1.5e+07
480 Biomedical,Biotechnology,North Bridge Venture Partners & Growth Equity,venture,A,2012-02-14,1.5e+07
480 Biomedical,Biotechnology,Polaris Partners,venture,A,2012-02-14,1.5e+07
7TM Pharma,Biotechnology|Diabetes|Therapeutics,Alta Partners,venture,D,2007-06-12,2.2e+07
7TM Pharma,Biotechnology|Diabetes|Therapeutics,Johnson & Johnson Development Corporation,venture,D,2007-06-12,2.2e+07
7TM Pharma,Biotechnology|Diabetes|Therapeutics,SR One,venture,D,2007-06-12,2.2e+07
A&G Pharmaceutical,Biotechnology,Crocker Capital,venture,A,2005-09-08,2e+06
A&G Pharmaceutical,Biotechnology,Maryland Venture Fund,venture,A,2005-09-08,2e+06
A&G Pharmaceutical,Biotechnology,New England Partners,venture,A,2005-09-08,2e+06
Aarden Pharmaceuticals,Biotechnology,Innovate Indiana Fund,seed,NA,2011-01-03,5e+05
Aastrom Biosciences,Biotechnology,Eastern Capital,venture,NA,2012-03-09,4e+07
AbCelex Technologies,Biotechnology,Cultivian Sandbox Ventures,venture,A,2014-04-28,2e+06
aBioBot,Biotechnology|Robotics|Technology,SOSV,seed,NA,2015-02-03,50000
aBioBot,Biotechnology|Robotics|Technology,Indie Bio,seed,NA,2015-02-03,50000
Ablative Solutions,Biotechnology,BioStar Ventures,venture,B,2014-02-04,9575077
Ablative Solutions,Biotechnology,BioStar Ventures,venture,A,2012-06-19,5300000
Ablative Solutions,Biotechnology,CKM Capital Partners,debt_financing,NA,2013-03-26,8e+06
Ablative Solutions,Biotechnology,Michigan Accelerator Fund I,venture,B,2014-02-04,9575077
Ablexis,Biotechnology,Pfizer Venture Investments,venture,A,2010-06-04,1.2e+07
Ablexis,Biotechnology,Third Rock Ventures,venture,A,2010-06-04,1.2e+07
Ablynx,Biotechnology,Alta Partners,venture,C,2006-08-23,5e+07
Ablynx,Biotechnology,Alta Partners,venture,B,2004-04-06,3e+07
Ablynx,Biotechnology,SR One,venture,C,2006-08-23,5e+07
Acacia Pharma,Biotechnology,F-Prime Capital Partners,venture,B,2013-09-03,23500000
ACADIA Pharmaceuticals,Biotechnology|Health Care,Hambrecht & Quist Capital Management,venture,F,2003-03-31,2.5e+07
ACADIA Pharmaceuticals,Biotechnology|Health Care,New Enterprise Associates,venture,NA,2011-01-11,1.5e+07
ACADIA Pharmaceuticals,Biotechnology|Health Care,OrbiMed Advisors,venture,F,2003-03-31,2.5e+07
ACADIA Pharmaceuticals,Biotechnology|Health Care,Oxford Bioscience Partners,venture,F,2003-03-31,2.5e+07
ACADIA Pharmaceuticals,Biotechnology|Health Care,Venrock,venture,NA,2011-01-11,1.5e+07
Acceleron Pharma,Biotechnology,Advanced Technology Ventures,venture,B,2006-08-02,3e+07
Acceleron Pharma,Biotechnology,Advanced Technology Ventures,venture,NA,2010-06-10,10250006
Acceleron Pharma,Biotechnology,Bessemer Venture Partners,venture,C,2007-10-01,3.1e+07
Acceleron Pharma,Biotechnology,Celgene,venture,F,2011-12-23,3e+07
Acceleron Pharma,Biotechnology,Flagship Ventures,venture,B,2006-08-02,3e+07
Acceleron Pharma,Biotechnology,Flagship Ventures,venture,NA,2010-06-10,10250006
Acceleron Pharma,Biotechnology,OrbiMed Advisors,venture,B,2006-08-02,3e+07
Acceleron Pharma,Biotechnology,OrbiMed Advisors,venture,NA,2010-06-10,10250006
Acceleron Pharma,Biotechnology,Polaris Partners,venture,B,2006-08-02,3e+07
Acceleron Pharma,Biotechnology,Polaris Partners,venture,NA,2010-06-10,10250006
Acceleron Pharma,Biotechnology,QVT Financial,venture,C,2007-10-01,3.1e+07
Acceleron Pharma,Biotechnology,Sutter Hill Ventures,venture,B,2006-08-02,3e+07
Acceleron Pharma,Biotechnology,Venrock,venture,B,2006-08-02,3e+07
Acceleron Pharma,Biotechnology,Venrock,venture,NA,2010-06-10,10250006
Accera,Biotechnology,POSCO BioVentures,venture,A,2004-09-16,6e+06
Accera,Biotechnology,POSCO BioVentures,venture,C,2008-11-12,3.5e+07
