company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
One Block Off the Grid (1BOG),Clean Technology|Residential Solar,New Enterprise Associates,venture,A,2010-02-11,5e+06
24M Technologies,Clean Technology,CRV,venture,A,2010-08-16,1.6e+07
24M Technologies,Clean Technology,North Bridge Venture Partners & Growth Equity,venture,A,2010-08-16,1.6e+07
24M Technologies,Clean Technology,U.S. Department of Energy,venture,A,2010-08-16,1.6e+07
3TIER,Clean Technology,Good Energies,venture,B,2007-09-05,2e+06
3TIER,Clean Technology,Good Energies,venture,NA,2008-12-18,1e+07
7AC Technologies,Clean Technology,3M New Ventures,venture,B,2012-07-25,4500000
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Alliance Capital Ventures,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,General Electric (GE),venture,E,2009-04-13,6.9e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,General Electric (GE),venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Madison Parker Capital,venture,B,2006-02-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Massachusetts Institute of Technology - MIT,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Motorola Solutions,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,North Bridge Venture Partners & Growth Equity,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Procter & Gamble (P&G),venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Qualcomm Incorporated,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Sequoia Capital,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,U.S. Department of Energy,grant,NA,2009-08-05,2.49e+08
Abound Solar,Clean Technology|Solar,DCM,private_equity,NA,2010-12-15,1.1e+08
Abound Solar,Clean Technology|Solar,Invus,private_equity,NA,2010-12-15,1.1e+08
Abound Solar,Clean Technology|Solar,U.S. Department of Energy,grant,NA,2010-07-06,4e+08
ABSMaterials,Clean Technology,Harris & Harris Group,venture,B,2013-11-24,4e+06
ABSMaterials,Clean Technology,JumpStart Inc.,venture,A,2010-06-24,5e+05
ABSMaterials,Clean Technology,North Coast Angel Fund,venture,A,2010-06-24,5e+05
ACAL Energy,Clean Technology,I2BF Venture Capital,venture,NA,2011-06-15,9910333
ACAL Energy,Clean Technology,I2BF Venture Capital,venture,NA,2011-05-08,1640570
Accio Energy,Clean Technology,U.S. Department of Energy,grant,NA,2015-11-30,4500000
Achates Power,Clean Technology,InterWest Partners,venture,A,2009-10-08,12100000
Achates Power,Clean Technology,InterWest Partners,venture,C,2013-10-09,35200000
Achates Power,Clean Technology,Madrone Capital Partners,venture,A,2009-10-08,12100000
Achates Power,Clean Technology,Madrone Capital Partners,venture,B,2010-01-11,7e+06
Achates Power,Clean Technology,Madrone Capital Partners,venture,C,2013-10-09,35200000
Achates Power,Clean Technology,RockPort Capital,venture,A,2009-10-08,12100000
Achates Power,Clean Technology,RockPort Capital,venture,B,2010-01-11,7e+06
Achates Power,Clean Technology,RockPort Capital,venture,C,2013-10-09,35200000
Achates Power,Clean Technology,Sequoia Capital,venture,A,2009-10-08,12100000
Achates Power,Clean Technology,Sequoia Capital,venture,B,2010-01-11,7e+06
Achates Power,Clean Technology,Sequoia Capital,venture,C,2013-10-09,35200000
Achates Power,Clean Technology,Triangle Peak Partners,venture,B,2010-01-11,7e+06
Achates Power,Clean Technology,Triangle Peak Partners,venture,C,2013-10-09,35200000
Acousticeye,Clean Technology,Sequoia Capital,venture,B,2010-11-03,NA
Acousticeye,Clean Technology,Sequoia Capital,venture,NA,2012-05-24,6e+06
Acousticeye,Clean Technology,Sequoia Capital,venture,NA,2013-12-04,7e+06
Actacell,Batteries|Clean Technology|Search,Applied Ventures,venture,A,2008-07-22,5800000
Actacell,Batteries|Clean Technology|Search,Good Energies,venture,A,2008-07-22,5800000
Actacell,Batteries|Clean Technology|Search,Google,venture,A,2008-07-22,5800000
Actacell,Batteries|Clean Technology|Search,Mercury Fund,venture,A,2008-07-22,5800000
Actacell,Batteries|Clean Technology|Search,Texas Wide Open for Business,seed,NA,2009-11-10,1e+06
Adaptive Ozone Solutions,Clean Technology,Kansas Technology,venture,A,2008-06-30,3750000
Adura Technologies,Clean Energy|Clean Technology|Lighting,Claremont Creek Ventures,venture,A,2008-10-16,5e+06
Adura Technologies,Clean Energy|Clean Technology|Lighting,Claremont Creek Ventures,venture,B,2012-04-26,8500000
Adura Technologies,Clean Energy|Clean Technology|Lighting,Claremont Creek Ventures,venture,B,2010-02-22,1.2e+07
Adura Technologies,Clean Energy|Clean Technology|Lighting,NGEN Partners,venture,B,2012-04-26,8500000
Adura Technologies,Clean Energy|Clean Technology|Lighting,NGEN Partners,venture,B,2010-02-22,1.2e+07
Adura Technologies,Clean Energy|Clean Technology|Lighting,VantagePoint Capital Partners,venture,A,2008-10-16,5e+06
Adura Technologies,Clean Energy|Clean Technology|Lighting,VantagePoint Capital Partners,venture,B,2012-04-26,8500000
Adura Technologies,Clean Energy|Clean Technology|Lighting,VantagePoint Capital Partners,venture,B,2010-02-22,1.2e+07
Advanced Battery Concepts,Clean Technology,Ann Arbor SPARK,debt_financing,NA,2013-01-08,1210000
Advanced Battery Concepts,Clean Technology,Blue Water Angels,debt_financing,NA,2013-01-08,1210000
Advanced Battery Concepts,Clean Technology,Northern Michigan Angels,debt_financing,NA,2013-01-08,1210000
Advanced Battery Concepts,Clean Technology,Rocket Ventures,undisclosed,NA,2011-03-24,NA
Advanced Electron Beams,Clean Technology,Agman Partners,venture,C,2009-08-04,14200000
Advanced Electron Beams,Clean Technology,Atlas Venture,venture,C,2009-08-04,14200000
Advanced Electron Beams,Clean Technology,Atlas Venture,venture,B,2007-03-26,17470000
Advanced Electron Beams,Clean Technology,Flagship Ventures,venture,C,2009-08-04,14200000
Advanced Electron Beams,Clean Technology,General Catalyst Partners,venture,C,2009-08-04,14200000
Advanced Electron Beams,Clean Technology,General Catalyst Partners,venture,B,2007-03-26,17470000
Advanced Electron Beams,Clean Technology,General Electric (GE),venture,C,2009-08-04,14200000
Advanced Electron Beams,Clean Technology,RockPort Capital,venture,C,2009-08-04,14200000
Advanced Electron Beams,Clean Technology,RockPort Capital,venture,B,2007-03-26,17470000
Advanced Power Projects,Clean Technology,Bay Partners,venture,A,2008-03-18,1.3e+07
Advanced Power Projects,Clean Technology,Redpoint Ventures,venture,A,2008-03-18,1.3e+07
Advanced Power Projects,Clean Technology,Sequoia Capital,venture,A,2008-03-18,1.3e+07
Advanced-Tec,Clean Technology|Manufacturing,Ben Franklin Technology Partners of Northeast Pennsylvania,venture,NA,2008-03-20,335000
Advanced Telemetry,Clean Technology|Software,21Ventures,venture,B,2009-07-21,NA
Advent Solar,Clean Technology|Solar,Angels with Attitude,angel,NA,2003-01-01,NA
Advent Solar,Clean Technology|Solar,CMGI @Ventures,venture,NA,2004-12-10,8e+06
Advent Solar,Clean Technology|Solar,EnerTech Capital,venture,NA,2004-12-10,8e+06
Advent Solar,Clean Technology|Solar,Fort Washington Capital Partners Group,venture,NA,2004-12-10,8e+06
Advent Solar,Clean Technology|Solar,New Mexico Community Capital,venture,NA,2004-12-10,8e+06
Advent Solar,Clean Technology|Solar,University Venture Fund,venture,D,2007-06-19,7e+07
