company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
1000memories,Curated Web,Felicis Ventures,venture,A,2011-02-16,2520000
1000memories,Curated Web,FLOODGATE,venture,A,2011-02-16,2520000
1000memories,Curated Web,Founder Collective,venture,A,2011-02-16,2520000
1000memories,Curated Web,Founder Collective,seed,NA,2010-01-01,15000
1000memories,Curated Web,Greylock Partners,venture,A,2011-02-16,2520000
1000memories,Curated Web,Signatures Capital,venture,A,2011-02-16,2520000
1000memories,Curated Web,Y Combinator,seed,NA,2010-01-01,15000
1000memories,Curated Web,Bobby Yazdani,venture,A,2011-02-16,2520000
1000memories,Curated Web,Caterina Fake,venture,A,2011-02-16,2520000
1000memories,Curated Web,Chris Sacca,venture,A,2011-02-16,2520000
1000memories,Curated Web,Keith Rabois,venture,A,2011-02-16,2520000
1000memories,Curated Web,Paul Buchheit,venture,A,2011-02-16,2520000
1000memories,Curated Web,Ron Conway,venture,A,2011-02-16,2520000
1000museums.com,Curated Web,Alliance of Angels,debt_financing,NA,2013-04-08,647879
1000museums.com,Curated Web,Alliance of Angels,venture,NA,2011-04-05,642000
1000museums.com,Curated Web,Converge Venture Partners,venture,NA,2014-01-15,2906832
1000museums.com,Curated Web,Converge Venture Partners,venture,NA,2014-08-01,1500000
1000museums.com,Curated Web,Scout Ventures,debt_financing,NA,2013-04-08,647879
1000museums.com,Curated Web,Scout Ventures,convertible_note,NA,2014-12-01,NA
1000museums.com,Curated Web,Stonehenge Growth Equity,venture,NA,2014-02-01,NA
2RedBeans,Curated Web|Online Dating|Social Network Media,StartX,seed,NA,2014-10-15,2300000
2Wire,Curated Web,Accel,venture,C,2000-04-01,53500000
2Wire,Curated Web,Accel,venture,D,2001-10-24,6.1e+07
2Wire,Curated Web,DCM,venture,D,2001-10-24,6.1e+07
2Wire,Curated Web,Dell,venture,E,2002-11-15,27500000
2Wire,Curated Web,GGV Capital,venture,G,2003-05-12,NA
2Wire,Curated Web,GGV Capital,venture,E,2002-11-15,27500000
2Wire,Curated Web,Meritech Capital Partners,venture,E,2002-11-15,27500000
2Wire,Curated Web,Meritech Capital Partners,venture,C,2000-04-01,53500000
2Wire,Curated Web,Meritech Capital Partners,venture,D,2001-10-24,6.1e+07
2Wire,Curated Web,Oak Investment Partners,venture,E,2002-11-15,27500000
2Wire,Curated Web,Oak Investment Partners,venture,C,2000-04-01,53500000
2Wire,Curated Web,Oak Investment Partners,venture,D,2001-10-24,6.1e+07
2Wire,Curated Web,Technology Crossover Ventures,venture,E,2002-11-15,27500000
2Wire,Curated Web,Technology Crossover Ventures,venture,D,2001-10-24,6.1e+07
2Wire,Curated Web,Venrock,venture,B,1999-11-01,2e+07
2Wire,Curated Web,Venrock,venture,E,2002-11-15,27500000
2Wire,Curated Web,Venrock,venture,C,2000-04-01,53500000
2Wire,Curated Web,Venrock,venture,D,2001-10-24,6.1e+07
2Wire,Curated Web,Weber Capital,venture,E,2002-11-15,27500000
3point5.com,Curated Web,vSpring Capital,venture,B,2006-10-09,1500000
58.com,Curated Web|Internet|Software,DCM,venture,NA,2010-04-21,1.5e+07
58.com,Curated Web|Internet|Software,Warburg Pincus,venture,D,2011-01-01,5.5e+07
58.com,Curated Web|Internet|Software,Warburg Pincus,venture,C,2010-12-01,6e+07
64 Pixels,Browser Extensions|Curated Web|Social Media,Dave McClure,angel,NA,2010-10-01,1e+05
8020 Media,Curated Web|News|Photography|Publishing,Minor Ventures,seed,NA,2006-01-01,NA
8aweek,Curated Web|Task Management,Y Combinator,seed,NA,2008-03-02,NA
91JinRong,Curated Web|Finance,Lightspeed Venture Partners,venture,B,2014-06-16,1e+07
91JinRong,Curated Web|Finance,Microsoft Ventures,venture,A,2013-10-01,9790000
Abazab,Curated Web,Advanced Equities,venture,NA,2006-05-05,4100000
Abazab,Curated Web,AsiaTech Management,venture,NA,2006-05-05,4100000
Abazab,Curated Web,DFJ Frontier,venture,NA,2006-05-05,4100000
Abazab,Curated Web,Draper Fisher Jurvetson (DFJ),venture,NA,2006-05-05,4100000
Abazab,Curated Web,Geneva Venture Partners,venture,NA,2006-05-05,4100000
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,.406 Ventures,venture,B,2014-03-18,6e+06
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,.406 Ventures,venture,C,2015-06-09,1.2e+07
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,.406 Ventures,venture,A,2013-05-14,3e+06
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,BlueCross BlueShield Venture Partners,venture,B,2014-03-18,6e+06
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,BlueCross BlueShield Venture Partners,venture,C,2015-06-09,1.2e+07
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,HLM Venture Partners,venture,C,2015-06-09,1.2e+07
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,Sandbox Industries,venture,B,2014-03-18,6e+06
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,Sandbox Industries,venture,C,2015-06-09,1.2e+07
Abine,Curated Web|Privacy,Atlas Venture,venture,A,2011-07-12,6467283
Abine,Curated Web|Privacy,General Catalyst Partners,venture,A,2011-07-12,6467283
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Base Ventures,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Base Ventures,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Blumberg Capital,venture,A,2015-08-25,6e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Correlation Ventures,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Correlation Ventures,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Expansion Venture Capital,venture,A,2015-08-25,6e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Expansion Venture Capital,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Expansion Venture Capital,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,FLOODGATE,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,FLOODGATE,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Peterson Partners,venture,A,2015-08-25,6e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Peterson Ventures,venture,A,2013-07-01,5e+06
Able Lending,Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses,Rothenberg Ventures,venture,A,2013-07-01,5e+06
