company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
140 Proof,Advertising|Big Data Analytics|Interest Graph,BlueRun Ventures,venture,A,2009-07-01,3e+06
140 Proof,Advertising|Big Data Analytics|Interest Graph,BlueRun Ventures,venture,B,2011-04-28,2500000
140 Proof,Advertising|Big Data Analytics|Interest Graph,SV Angel,venture,B,2011-04-28,2500000
140 Proof,Advertising|Big Data Analytics|Interest Graph,Mark Kingdon,venture,B,2011-04-28,2500000
1World Online,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,DEFTA Partners,venture,A,2015-08-13,2500000
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Andreessen Horowitz,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Data Collective,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Khosla Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Pantera Capital,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Qualcomm Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,RRE Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Winklevoss Capital,venture,A,2013-11-17,5050000
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Karl Mehta,venture,A,2013-11-17,5050000
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Peter Thiel,venture,NA,2015-03-10,1.16e+08
365 Data Centers,Data Centers|Information Technology|Internet|Services,Crosslink Capital,venture,B,2014-09-10,1.6e+07
365 Data Centers,Data Centers|Information Technology|Internet|Services,Housatonic Partners,venture,B,2014-09-10,1.6e+07
3PAR,Cloud Data Services|Services|Software,Mayfield Fund,venture,C,2001-07-02,1e+08
3PAR,Cloud Data Services|Services|Software,Mayfield Fund,venture,B,2000-05-01,1.6e+07
3PAR,Cloud Data Services|Services|Software,Menlo Ventures,venture,D,2004-02-10,3.2e+07
3PAR,Cloud Data Services|Services|Software,Oracle Corporation,venture,B,2000-05-01,1.6e+07
3PAR,Cloud Data Services|Services|Software,Oracle Corporation,venture,D,2004-02-10,3.2e+07
3PAR,Cloud Data Services|Services|Software,Sun Microsystems,venture,D,2004-02-10,3.2e+07
3PAR,Cloud Data Services|Services|Software,Veritas Software,venture,D,2004-02-10,3.2e+07
3PAR,Cloud Data Services|Services|Software,Worldview Technology Partners,venture,C,2001-07-02,1e+08
3PAR,Cloud Data Services|Services|Software,Worldview Technology Partners,venture,B,2000-05-01,1.6e+07
3PAR,Cloud Data Services|Services|Software,Worldview Technology Partners,venture,D,2004-02-10,3.2e+07
3ware,Databases|Electronics|Storage,New Enterprise Associates,venture,D,2003-02-11,2.6e+07
3ware,Databases|Electronics|Storage,Selby Venture Partners,venture,D,2003-02-11,2.6e+07
3ware,Databases|Electronics|Storage,U.S. Venture Partners (USVP),venture,D,2003-02-11,2.6e+07
3ware,Databases|Electronics|Storage,VantagePoint Capital Partners,venture,D,2003-02-11,2.6e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,NA,2013-04-01,4288000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Mitsui & Co. Global Investment,venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Peacock Equity,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Peacock Equity,venture,E,2007-10-31,2.5e+08
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Selby Venture Partners,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,NA,2013-04-01,4288000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Vulcan Capital,venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Vulcan Capital,venture,D,2011-10-27,1.4e+07
6px,Cloud Computing|Cloud Data Services|Developer APIs|PaaS,Boomtown Accelerator,seed,NA,2014-03-21,NA
A4 Data Technology Inc,Analytics|Big Data|Cloud Data Services,InnoSpring Seed Fund,angel,NA,2013-05-01,NA
ABEJA,Analytics|Big Data|Machine Learning|Retail Technology,Mizuho Capital,seed,NA,2014-07-11,NA
ABEJA,Analytics|Big Data|Machine Learning|Retail Technology,Salesforce Ventures,venture,A,2014-12-04,NA
aboutLife,Big Data|Consumers|Personal Finance|Retirement,Kleiner Perkins Caufield & Byers,venture,A,2015-09-30,3e+06
Accordion Health,Big Data Analytics|Health Care Information Technology|SaaS,National Science Foundation,seed,NA,2014-07-02,150000
Acta technology,Data Integration|Enterprises|Real Time,Greylock Partners,venture,NA,2001-08-08,2.5e+07
Acta technology,Data Integration|Enterprises|Real Time,Investcorp Gulf Investments,venture,NA,2001-08-08,2.5e+07
Acta technology,Data Integration|Enterprises|Real Time,J. & W. Seligman & Co.,venture,NA,2001-08-08,2.5e+07
Acta technology,Data Integration|Enterprises|Real Time,Norwest Venture Partners - NVP,venture,NA,2001-08-08,2.5e+07
Acta technology,Data Integration|Enterprises|Real Time,U.S. Venture Partners (USVP),venture,NA,2001-08-08,2.5e+07
