company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
1000 Markets,Art|E-Commerce|Marketplaces,FF Angel LLC,seed,NA,2009-05-15,5e+05
1000 Markets,Art|E-Commerce|Marketplaces,True Ventures,seed,NA,2009-05-15,5e+05
1000 Markets,Art|E-Commerce|Marketplaces,Jon Callaghan,seed,NA,2009-05-15,5e+05
12Society,E-Commerce,Lightbank,seed,NA,2012-04-05,NA
1stdibs,E-Commerce,Benchmark,undisclosed,NA,2011-11-03,6e+07
1stdibs,E-Commerce,Benchmark,venture,NA,2012-12-03,4.2e+07
1stdibs,E-Commerce,Insight Venture Partners,secondary_market,C,2015-09-09,NA
1stdibs,E-Commerce,Spark Capital,venture,NA,2012-12-03,4.2e+07
1stdibs,E-Commerce,SV Angel,seed,NA,2012-10-01,NA
20x200,Art|E-Commerce|Social Commerce,AOL Ventures,venture,A,2010-08-01,2e+06
20x200,Art|E-Commerce|Social Commerce,Founder Collective,venture,A,2010-08-01,2e+06
20x200,Art|E-Commerce|Social Commerce,Founder Collective,venture,A,2009-10-01,8e+05
20x200,Art|E-Commerce|Social Commerce,SV Angel,venture,A,2009-10-01,8e+05
20x200,Art|E-Commerce|Social Commerce,True Ventures,venture,A,2010-08-01,2e+06
20x200,Art|E-Commerce|Social Commerce,True Ventures,venture,A,2009-10-01,8e+05
20x200,Art|E-Commerce|Social Commerce,Caterina Fake,venture,A,2009-10-01,8e+05
20x200,Art|E-Commerce|Social Commerce,David Mahoney,venture,A,2010-08-01,2e+06
20x200,Art|E-Commerce|Social Commerce,David Mahoney,venture,A,2009-10-01,8e+05
20x200,Art|E-Commerce|Social Commerce,James Joaquin,venture,A,2010-08-01,2e+06
20x200,Art|E-Commerce|Social Commerce,James Joaquin,venture,A,2009-10-01,8e+05
20x200,Art|E-Commerce|Social Commerce,Zach Klein,venture,A,2009-10-01,8e+05
24h00,Advertising|E-Commerce|Marketing Automation,Fabrice Grinda,seed,NA,2006-08-01,NA
27 Perry,E-Commerce|Finance|Marketplaces,Techstars,seed,NA,2012-05-17,118000
2Checkout,E-Commerce,Chicago Growth Partners,venture,A,2014-07-16,6e+07
2Checkout,E-Commerce,Trident Capital,venture,A,2014-07-16,6e+07
2Checkout,E-Commerce,Trinity Capital Investment,debt_financing,NA,2015-09-15,1.2e+07
2Duche,E-Commerce,Ignition Partners,undisclosed,NA,2010-08-01,NA
3D Product Imaging,3D|3D Technology|E-Commerce|Internet|Online Shopping,9Mile Labs,seed,NA,2014-01-01,35000
4-Tell,E-Commerce,Portland Seed Fund,seed,NA,2011-07-01,25000
4-Tell,E-Commerce,Portland Seed Fund,seed,NA,2013-07-11,NA
4-Tell,E-Commerce,Portland Seed Fund,venture,A,2012-01-01,1e+06
4-Tell,E-Commerce,Jon Peterson,venture,A,2012-01-01,1e+06
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Crosslink Capital,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Crosslink Capital,venture,A,2012-03-14,4500000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Crosslink Capital,venture,B,2013-03-12,5e+06
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Fung Capital USA,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Fung Capital USA,venture,B,2013-03-12,5e+06
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Great Oaks Venture Capital,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Implistic Capital,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Intel Capital,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Intel Capital,venture,A,2012-03-14,4500000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Intel Capital,venture,B,2013-03-12,5e+06
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Quest Venture Partners,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Wasabi Ventures,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Y Combinator,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Y Combinator,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Babak Nivi,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Benjamin Ling,undisclosed,NA,2011-04-25,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Chris Yeh,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,David Li,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Matt Gilbert,venture,A,2012-03-14,4500000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Naval Ravikant,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Richard Chen,seed,NA,2009-12-15,1400000
55tuan.com,E-Commerce,Goldman Sachs,venture,A,2011-07-01,2e+08
Shoppable,Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software,500 Startups,seed,NA,2011-10-26,NA
8th Story,E-Commerce|Fashion|Lifestyle|Retail,NCLUSIVE,seed,NA,2013-08-01,NA
99Bill,E-Commerce|Payments,DCM,venture,A,2005-08-12,2e+06
99Bill,E-Commerce|Payments,DCM,venture,B,2006-04-26,15050000
99Bill,E-Commerce|Payments,Lightspeed Venture Partners,venture,B,2006-04-26,15050000
99Bill,E-Commerce|Payments,Peninsula Capital,venture,A,2005-08-12,2e+06
