company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
17zuoye,Education|Language Learning,Tiger Global Management,venture,C,2014-02-24,2e+07
17zuoye,Education|Language Learning,Eugene Zhang,angel,NA,2011-01-01,NA
2U Inc.,EdTech|Education|Software,Bessemer Venture Partners,venture,D,2013-10-21,5100000
2U Inc.,EdTech|Education|Software,Bessemer Venture Partners,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Bessemer Venture Partners,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,City Light Capital,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,City Light Capital,venture,A,2009-06-21,1e+07
2U Inc.,EdTech|Education|Software,City Light Capital,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,City Light Capital,venture,B,2010-02-05,2e+07
2U Inc.,EdTech|Education|Software,Highland Capital Partners,venture,D,2013-10-21,5100000
2U Inc.,EdTech|Education|Software,Highland Capital Partners,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Highland Capital Partners,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,Highland Capital Partners,venture,B,2010-02-05,2e+07
2U Inc.,EdTech|Education|Software,Hillman Ventures,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Novak Biddle Venture Partners,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Novak Biddle Venture Partners,venture,A,2009-06-21,1e+07
2U Inc.,EdTech|Education|Software,Novak Biddle Venture Partners,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,Novak Biddle Venture Partners,venture,B,2010-02-05,2e+07
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,D,2013-10-21,5100000
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,A,2009-06-21,1e+07
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,B,2010-02-05,2e+07
2U Inc.,EdTech|Education|Software,Rethink Education,venture,D,2013-10-21,5100000
4Soils,Apps|Education|Kids|Religion,The Startup Factory,seed,NA,2013-08-26,50000
51Talk,Education,DCM,venture,B,2013-12-01,1e+07
51Talk,Education,Sequoia Capital,venture,C,2014-10-23,5.5e+07
5min Media,Education|Games|Video,Globespan Capital Partners,venture,B,2009-07-23,7500000
5min Media,Education|Games|Video,Spark Capital,venture,A,2007-11-01,5e+06
5min Media,Education|Games|Video,Spark Capital,venture,B,2009-07-23,7500000
Abroad101,Education,MassChallenge,seed,NA,2010-10-21,50000
Academize,Cloud Computing|Collaboration|Education|Social Media,AngelPad,seed,NA,2012-06-01,NA
Academy123,Education,Arcturus Capital,venture,A,2004-08-01,2e+06
Academy123,Education,Momentum Venture Management,venture,A,2004-08-01,2e+06
Academy123,Education,Dan Murray,venture,A,2004-08-01,2e+06
Accredible,Colleges|Education|Recruiting,Imagine K12,seed,NA,2013-05-06,NA
Ace Learning Company,Education|SaaS|Services,Rethink Education,venture,A,2014-12-02,NA
Ace Learning Company,Education|SaaS|Services,Nathan Schultz,venture,A,2014-12-02,NA
Aceable,Education|Mobile Commerce|Technical Continuing Education,Capital Factory,seed,NA,2013-10-15,NA
Aceable,Education|Mobile Commerce|Technical Continuing Education,FLOODGATE,seed,NA,2015-10-01,4700000
