company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
11i Solutions,Enterprise Software,Steel Pier Capital Advisors,venture,NA,2011-03-22,1800000
1World Online,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,DEFTA Partners,venture,A,2015-08-13,2500000
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Columbia Capital,venture,C,2014-10-14,1e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Columbia Capital,venture,C,2013-11-05,2.3e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Madrona Venture Group,venture,C,2014-10-14,1e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Madrona Venture Group,venture,C,2013-11-05,2.3e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Top Tier Capital Partners,venture,C,2014-10-14,1e+07
XDN/3Crowd Technologies,Enterprise Software,Canaan Partners,venture,A,2010-04-13,6620000
XDN/3Crowd Technologies,Enterprise Software,Canaan Partners,venture,NA,2012-07-01,669000
XDN/3Crowd Technologies,Enterprise Software,Storm Ventures,undisclosed,NA,2009-12-22,NA
XDN/3Crowd Technologies,Enterprise Software,Storm Ventures,venture,A,2010-04-13,6620000
XDN/3Crowd Technologies,Enterprise Software,Jay Adelson,undisclosed,NA,2009-12-22,NA
XDN/3Crowd Technologies,Enterprise Software,Kevin Rose,undisclosed,NA,2009-12-22,NA
3DPrinterOS,3D|3D Printing|3D Technology|CAD|Enterprise Software|Industrial Automation|Software,Alchemist Accelerator,seed,NA,2013-11-10,NA
3DPrinterOS,3D|3D Printing|3D Technology|CAD|Enterprise Software|Industrial Automation|Software,Vulcan Capital,seed,NA,2013-11-10,NA
3DPrinterOS,3D|3D Printing|3D Technology|CAD|Enterprise Software|Industrial Automation|Software,Zillionize,seed,NA,2013-11-10,NA
3DPrinterOS,3D|3D Printing|3D Technology|CAD|Enterprise Software|Industrial Automation|Software,Ken Arnold,seed,NA,2013-11-10,NA
3DPrinterOS,3D|3D Printing|3D Technology|CAD|Enterprise Software|Industrial Automation|Software,Ravi Belani,seed,NA,2013-11-10,NA
3DPrinterOS,3D|3D Printing|3D Technology|CAD|Enterprise Software|Industrial Automation|Software,Steve King,seed,NA,2013-11-10,NA
3LM,Android|Enterprises|Mobile,Accel,seed,NA,2010-07-01,1500000
3scale,Developer APIs|Enterprise Software|Infrastructure|Services|Software,Costanoa Venture Capital,private_equity,NA,2013-04-24,4200000
3scale,Developer APIs|Enterprise Software|Infrastructure|Services|Software,Javelin Venture Partners,private_equity,NA,2013-04-24,4200000
3scale,Developer APIs|Enterprise Software|Infrastructure|Services|Software,NEOTEC,seed,NA,2010-04-20,8e+05
3scale,Developer APIs|Enterprise Software|Infrastructure|Services|Software,David Thevenon,seed,NA,2010-04-20,8e+05
404 Found!,Enterprise Software,Cyber Capital,venture,A,2000-07-01,5733600
42,Enterprise Software,500 Startups,seed,NA,2014-05-16,0
42,Enterprise Software,China Rock Capital,seed,NA,2014-05-16,0
42,Enterprise Software,SparkLabs Global Ventures,seed,NA,2014-05-16,0
42,Enterprise Software,Y Combinator,seed,NA,2014-05-16,0
42,Enterprise Software,Kevin Hale,seed,NA,2014-05-16,0
4tiitoo GmbH,3D Technology|Augmented Reality|Computers|Computer Vision|Enterprise Software|Human Computer Interaction|Mobile|Predictive Analytics|Software|Speech Recognition|Tablets|User Experience Design,Intel Capital,venture,B,2011-11-15,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Crosslink Capital,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Crosslink Capital,venture,A,2012-03-14,4500000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Crosslink Capital,venture,B,2013-03-12,5e+06
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Fung Capital USA,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Fung Capital USA,venture,B,2013-03-12,5e+06
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Great Oaks Venture Capital,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Implistic Capital,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Intel Capital,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Intel Capital,venture,A,2012-03-14,4500000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Intel Capital,venture,B,2013-03-12,5e+06
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Quest Venture Partners,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Wasabi Ventures,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Y Combinator,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Y Combinator,seed,NA,2010-03-23,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Babak Nivi,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Benjamin Ling,undisclosed,NA,2011-04-25,NA
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Chris Yeh,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,David Li,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Matt Gilbert,venture,A,2012-03-14,4500000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Naval Ravikant,seed,NA,2009-12-15,1400000
500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,Richard Chen,seed,NA,2009-12-15,1400000
6fusion,Enterprise Software,Grotech Ventures,venture,B,2011-08-22,7e+06
6fusion,Enterprise Software,Intersouth Partners,venture,A,2010-08-23,3e+06
6fusion,Enterprise Software,Intersouth Partners,venture,B,2011-08-22,7e+06
9Lenses,Business Analytics|Enterprise Software|SaaS|Software,Corporate Executive Board(CEB),venture,A,2013-10-29,1100000
9Lenses,Business Analytics|Enterprise Software|SaaS|Software,Corporate Executive Board(CEB),venture,A,2013-09-12,3e+06
9Lenses,Business Analytics|Enterprise Software|SaaS|Software,Kinetic Ventures,venture,A,2013-10-29,1100000
9Lenses,Business Analytics|Enterprise Software|SaaS|Software,Kinetic Ventures,venture,A,2013-09-12,3e+06
9Lenses,Business Analytics|Enterprise Software|SaaS|Software,Rally Ventures,venture,A,2013-10-29,1100000
9SLIDES,Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training,InnoSpring Seed Fund,seed,NA,2013-05-30,5e+05
9SLIDES,Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training,Kevin Henrikson,debt_financing,NA,2013-10-03,425000
Accedian Networks,Business Services|Enterprises|Mobile|Networking|Telecommunications,Rho Capital Partners,venture,C,2010-08-04,19500000
Accedian Networks,Business Services|Enterprises|Mobile|Networking|Telecommunications,Rho Capital Partners,venture,B,2008-02-14,7540000
Accedian Networks,Business Services|Enterprises|Mobile|Networking|Telecommunications,Summit Partners,venture,C,2010-08-04,19500000
Accelerize New Media,Enterprise Software,Square 1 Bank,debt_financing,NA,2014-04-16,3e+06
Accellion,Enterprise Software|Security,Riverwood Capital,venture,C,2012-01-04,1.2e+07
Access Information Management,Enterprise Software,Summit Partners,undisclosed,NA,2011-09-07,NA
AccessData,Enterprise Software,Silicon Valley Bank,debt_financing,NA,2013-03-15,2.5e+07
AccessData,Enterprise Software,Sorenson Capital,private_equity,NA,2013-03-15,2e+07
Accountable,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,Rock Health,seed,NA,2014-08-18,NA
Accountable,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,Techstars,seed,NA,2013-08-01,158000
Accruent,Enterprise Software,TA Associates,undisclosed,NA,2013-11-25,NA
Accruent,Enterprise Software,Vista Equity Partners,undisclosed,NA,2013-11-25,NA
Aceva Technologies,Enterprise Software,Accel,venture,D,2005-07-21,5280000
Aceva Technologies,Enterprise Software,Clearstone Venture Partners,venture,D,2005-07-21,5280000
Aceva Technologies,Enterprise Software,Sequoia Capital,venture,D,2005-07-21,5280000
AchieveIt,Enterprise Software,BIP Capital,seed,NA,2013-09-24,1500000
AchieveIt,Enterprise Software,BIP Capital,venture,D,2015-03-17,2e+06
AchieveIt,Enterprise Software,BIP Capital,venture,A,2012-12-28,1500000
Achilles Group,Enterprise Software,Ephor Group,venture,A,2008-01-09,2500000
Achilles Group,Enterprise Software,First Analysis,venture,A,2008-01-09,2500000
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Felicis Ventures,venture,A,2013-06-04,7300000
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Harrison Metal,venture,A,2013-06-04,7300000
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Redpoint Ventures,venture,A,2013-06-04,7300000
Acorio,Enterprise Software,Momentum Equity Partners,venture,A,2013-04-29,NA
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Amazon,venture,F,2014-08-13,NA
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Centerview Capital,venture,G,2015-09-28,5.5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Goldman Sachs,venture,E,2012-11-30,3e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,New Enterprise Associates,venture,G,2015-09-28,5.5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,New Enterprise Associates,venture,F,2014-05-27,5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,North Bridge Venture Partners & Growth Equity,venture,D,2011-07-20,1.5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,North Bridge Venture Partners & Growth Equity,venture,E,2012-11-30,3e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,North Bridge Venture Partners & Growth Equity,venture,C,2010-11-01,8500000
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,North Bridge Venture Partners & Growth Equity,venture,A,2007-12-01,7e+06
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,North Bridge Venture Partners & Growth Equity,venture,B,2009-07-17,8e+06
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,North Bridge Venture Partners & Growth Equity,venture,F,2014-05-27,5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,O'Reilly AlphaTech Ventures,venture,A,2007-12-01,7e+06
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Sigma Partners,venture,D,2011-07-20,1.5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Sigma Partners,venture,E,2012-11-30,3e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Sigma Partners,venture,C,2010-11-01,8500000
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Sigma Partners,venture,A,2007-12-01,7e+06
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Sigma Partners,venture,B,2009-07-17,8e+06
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Sigma Partners,venture,F,2014-05-27,5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Split Rock Partners,venture,G,2015-09-28,5.5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Split Rock Partners,venture,F,2014-05-27,5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Tenaya Capital,venture,D,2011-07-20,1.5e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Tenaya Capital,venture,E,2012-11-30,3e+07
Acquia,Content|Enterprise Software|Social Media|Software|Web CMS,Tenaya Capital,venture,F,2014-05-27,5e+07
ACT Teleconferencing Inc.,Collaboration|Enterprises|Technology,Dolphin Equity Partners,venture,NA,2005-08-26,1.6e+07
Acta technology,Data Integration|Enterprises|Real Time,Greylock Partners,venture,NA,2001-08-08,2.5e+07
Acta technology,Data Integration|Enterprises|Real Time,Investcorp Gulf Investments,venture,NA,2001-08-08,2.5e+07
Acta technology,Data Integration|Enterprises|Real Time,J. & W. Seligman & Co.,venture,NA,2001-08-08,2.5e+07
Acta technology,Data Integration|Enterprises|Real Time,Norwest Venture Partners - NVP,venture,NA,2001-08-08,2.5e+07
Acta technology,Data Integration|Enterprises|Real Time,U.S. Venture Partners (USVP),venture,NA,2001-08-08,2.5e+07
Actifio,Enterprise Software|Information Services|Information Technology,Advanced Technology Ventures,venture,C,2011-12-05,33500000
Actifio,Enterprise Software|Information Services|Information Technology,Advanced Technology Ventures,venture,E,2014-03-23,1e+08
Actifio,Enterprise Software|Information Services|Information Technology,Advanced Technology Ventures,venture,B,2010-09-22,1.6e+07
Actifio,Enterprise Software|Information Services|Information Technology,Andreessen Horowitz,venture,D,2013-03-06,5e+07
Actifio,Enterprise Software|Information Services|Information Technology,Andreessen Horowitz,venture,C,2011-12-05,33500000
Actifio,Enterprise Software|Information Services|Information Technology,Andreessen Horowitz,venture,E,2014-03-23,1e+08
Actifio,Enterprise Software|Information Services|Information Technology,Greylock Partners,venture,A,2010-07-21,8e+06
Actifio,Enterprise Software|Information Services|Information Technology,North Bridge Venture Partners & Growth Equity,venture,D,2013-03-06,5e+07
Actifio,Enterprise Software|Information Services|Information Technology,North Bridge Venture Partners & Growth Equity,venture,A,2010-07-21,8e+06
Actifio,Enterprise Software|Information Services|Information Technology,North Bridge Venture Partners & Growth Equity,venture,C,2011-12-05,33500000
Actifio,Enterprise Software|Information Services|Information Technology,North Bridge Venture Partners & Growth Equity,venture,B,2010-09-22,1.6e+07
Actifio,Enterprise Software|Information Services|Information Technology,Technology Crossover Ventures,venture,D,2013-03-06,5e+07
Actifio,Enterprise Software|Information Services|Information Technology,Technology Crossover Ventures,venture,E,2014-03-23,1e+08
Actifio,Enterprise Software|Information Services|Information Technology,Tiger Global Management,venture,E,2014-03-23,1e+08
ActionIQ,Big Data Analytics|Business Intelligence|Enterprise Software|Marketing Automation,Amplify Partners,seed,NA,2014-08-21,NA
ActionIQ,Big Data Analytics|Business Intelligence|Enterprise Software|Marketing Automation,Bowery Capital,seed,NA,2014-08-21,NA
ActionIQ,Big Data Analytics|Business Intelligence|Enterprise Software|Marketing Automation,FirstMark Capital,seed,NA,2014-08-21,NA
ActionIQ,Big Data Analytics|Business Intelligence|Enterprise Software|Marketing Automation,Sequoia Capital,seed,NA,2014-08-21,NA
ActionIQ,Big Data Analytics|Business Intelligence|Enterprise Software|Marketing Automation,Matt Turck,seed,NA,2014-08-21,NA
Actionsoft,Enterprise Software,Vertex Ventures,venture,A,2012-12-01,1604278
Active Endpoints,Enterprise Software,Atlas Venture,venture,A,2004-08-01,6500000
Active Endpoints,Enterprise Software,Atlas Venture,venture,B,2005-11-07,6e+06
Active Endpoints,Enterprise Software,North Bridge Venture Partners & Growth Equity,venture,A,2004-08-01,6500000
Active Endpoints,Enterprise Software,North Bridge Venture Partners & Growth Equity,venture,B,2009-04-29,5e+06
Active Endpoints,Enterprise Software,North Bridge Venture Partners & Growth Equity,venture,B,2005-11-07,6e+06
Active Storage,Enterprise Software,Intel Capital,venture,A,2009-11-17,8e+06
Active Storage,Enterprise Software,Mission Ventures,venture,A,2009-11-17,8e+06
Active Storage,Enterprise Software,Valhalla Partners,venture,A,2009-11-17,8e+06
Acumatica,Accounting|Cloud Computing|CRM|Developer Tools|Development Platforms|Enterprise Resource Planning|Enterprise Software|SaaS|Software,Almaz Capital,venture,NA,2013-11-18,1e+07
Acumatica,Accounting|Cloud Computing|CRM|Developer Tools|Development Platforms|Enterprise Resource Planning|Enterprise Software|SaaS|Software,Almaz Capital,venture,NA,2014-10-21,13300000
Acumatica,Accounting|Cloud Computing|CRM|Developer Tools|Development Platforms|Enterprise Resource Planning|Enterprise Software|SaaS|Software,Almaz Capital,undisclosed,NA,2009-11-03,NA
Adallom,Cloud Computing|Enterprises|Security,BDS Venture Fund,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Hewlett Packard Ventures,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Rembrandt Venture Partners,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,B,2014-01-20,1.5e+07
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,A,2012-12-01,4500000
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,C,2015-04-14,3e+07
Adaptive Computing,Cloud Management|Enterprise Software,EPIC Ventures,venture,A,2010-09-14,1.4e+07
Adaptive Computing,Cloud Management|Enterprise Software,In-Q-Tel,venture,B,2012-02-29,5999999
Adaptive Computing,Cloud Management|Enterprise Software,Intel Capital,venture,A,2010-09-14,1.4e+07
Adaptive Computing,Cloud Management|Enterprise Software,Tudor Growth Equity,venture,A,2010-09-14,1.4e+07
AdaptiveWell Technologies,Big Data|Big Data Analytics|Enterprise Software|Machine Learning|Oil and Gas|Oil & Gas|Optimization|SaaS|Software,Frost Data Capital,seed,NA,2015-07-01,125000
AdaptiveWell Technologies,Big Data|Big Data Analytics|Enterprise Software|Machine Learning|Oil and Gas|Oil & Gas|Optimization|SaaS|Software,Frost Data Capital,seed,NA,2014-06-01,675000
Adaptivity,Enterprise Software,Intel Capital,venture,A,2010-11-17,3e+06
Adaptivity,Enterprise Software,Intel Capital,venture,NA,2011-09-20,6e+06
Adaptivity,Enterprise Software,Intel Capital,venture,B,2012-03-01,3e+06
Adaptivity,Enterprise Software,Intersouth Partners,venture,NA,2011-09-20,6e+06
Adaptivity,Enterprise Software,Intersouth Partners,venture,B,2012-03-01,3e+06
Adaptivity,Enterprise Software,Intersouth Partners,venture,A,2010-10-05,7200000
Adaptivity,Enterprise Software,Noro-Moseley Partners,venture,NA,2011-09-20,6e+06
Adaptivity,Enterprise Software,Noro-Moseley Partners,venture,B,2012-03-01,3e+06
Adaptivity,Enterprise Software,Noro-Moseley Partners,venture,A,2010-10-05,7200000
Adapx,Collaboration|Enterprises|Software,In-Q-Tel,venture,NA,2008-06-01,NA
Adapx,Collaboration|Enterprises|Software,Northwest Technology Ventures,venture,NA,2013-04-11,3e+06
Adapx,Collaboration|Enterprises|Software,Northwest Technology Ventures,venture,NA,2012-07-30,3e+06
Adapx,Collaboration|Enterprises|Software,OVP Venture Partners,venture,NA,2011-05-20,5e+06
Adapx,Collaboration|Enterprises|Software,OVP Venture Partners,venture,NA,2013-04-11,3e+06
Adapx,Collaboration|Enterprises|Software,OVP Venture Partners,venture,NA,2012-07-30,3e+06
Adapx,Collaboration|Enterprises|Software,OVP Venture Partners,venture,B,2009-04-12,9e+06
Adapx,Collaboration|Enterprises|Software,OVP Venture Partners,venture,A,2007-12-05,1e+07
Adapx,Collaboration|Enterprises|Software,Paladin Capital Group,venture,NA,2011-05-20,5e+06
Adapx,Collaboration|Enterprises|Software,Paladin Capital Group,venture,NA,2013-04-11,3e+06
Adapx,Collaboration|Enterprises|Software,Paladin Capital Group,venture,NA,2012-07-30,3e+06
Adapx,Collaboration|Enterprises|Software,Paladin Capital Group,venture,B,2009-04-12,9e+06
Adapx,Collaboration|Enterprises|Software,Paladin Capital Group,venture,A,2007-12-05,1e+07
Adapx,Collaboration|Enterprises|Software,Pelion Venture Partners,venture,NA,2011-05-20,5e+06
Adapx,Collaboration|Enterprises|Software,Pelion Venture Partners,venture,NA,2013-04-11,3e+06
Adapx,Collaboration|Enterprises|Software,Pelion Venture Partners,venture,NA,2012-07-30,3e+06
Adapx,Collaboration|Enterprises|Software,Pelion Venture Partners,venture,B,2009-04-12,9e+06
Adaytum,Business Services|Enterprises|Software,Accenture,venture,NA,2001-06-04,7400000
Adaytum,Business Services|Enterprises|Software,American Express,venture,NA,2001-06-04,7400000
Adaytum,Business Services|Enterprises|Software,J.P. Morgan Securities Inc.,venture,NA,2001-06-04,7400000
Adaytum,Business Services|Enterprises|Software,St. Paul Venture Capital,venture,NA,2001-06-04,7400000
Adbrain,Advertising|Enterprise Software|Marketing Automation|Mobile,Nihal Mehta,seed,NA,2013-05-01,1500000
Addvocate,Enterprise Software,Rogers Venture Partners,venture,A,2013-07-24,2390000
Addvocate,Enterprise Software,Jay Baer,venture,A,2013-07-24,2390000
Addvocate,Enterprise Software,Jay Baer,seed,NA,2013-05-15,339000
Addvocate,Enterprise Software,Scott Banister,venture,A,2013-07-24,2390000
Addvocate,Enterprise Software,Suraj (Luke) Rajwani,venture,A,2013-07-24,2390000
Adept Cloud,Enterprise Software,R. B. Webber & Co.,venture,NA,2012-10-01,315000
Adept Cloud,Enterprise Software,The Entrepreneurs' Funds,venture,A,2012-11-01,7e+05
Adjudica,Enterprise Software|Facebook Applications|Medical|Software|Technology|Weddings,Capital Innovators,seed,NA,2011-09-01,50000
Adjudica,Enterprise Software|Facebook Applications|Medical|Software|Technology|Weddings,Brian Matthews,angel,NA,2010-01-01,5e+05
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,500 Startups,seed,NA,2013-03-01,1400000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Double M Partners,seed,NA,2013-03-01,1400000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Freestyle Capital,seed,NA,2013-03-01,1400000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Freestyle Capital,venture,A,2014-08-13,6250000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Newbury Ventures,venture,A,2014-08-13,6250000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Quest Venture Partners,seed,NA,2013-03-01,1400000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Quest Venture Partners,seed,NA,2014-02-24,1e+06
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Quest Venture Partners,venture,A,2014-08-13,6250000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Rising Tide Fund,venture,A,2014-08-13,6250000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Silicon Valley Bank,debt_financing,NA,2015-06-01,1500000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Verizon Ventures,venture,A,2014-08-13,6250000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,XG Ventures,seed,NA,2013-03-01,1400000
AdStage,Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software,Jason Calacanis,seed,NA,2013-06-21,1e+05
