company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
1006.tv,Games|Media,Sequoia Capital,venture,B,2014-07-31,1e+07
5 Minutes,Games,Draper Fisher Jurvetson (DFJ),venture,A,2009-12-21,3500000
50 Cubes,Fashion|Online Gaming|Social Games|Women,137 Ventures,secondary_market,NA,2012-01-01,NA
51wan,Games,Sequoia Capital,venture,A,2008-04-01,1500000
5211game,Games,Sequoia Capital,venture,NA,2009-12-01,1e+06
5min Media,Education|Games|Video,Globespan Capital Partners,venture,B,2009-07-23,7500000
5min Media,Education|Games|Video,Spark Capital,venture,A,2007-11-01,5e+06
5min Media,Education|Games|Video,Spark Capital,venture,B,2009-07-23,7500000
5th Planet Games,Games|Mobile|Mobile Games|Online Gaming,DCA Capital Partners,venture,NA,2014-07-16,3e+06
5th Planet Games,Games|Mobile|Mobile Games|Online Gaming,Moneta Ventures,venture,NA,2014-07-16,3e+06
7 Star Entertainment,Games,"Kodiak Capital Group, LLC",venture,NA,2010-07-14,1e+07
7fgame,Games,Sequoia Capital,venture,A,2009-12-01,NA
7k7k.com,Games,GGV Capital,venture,B,2012-10-10,NA
7k7k.com,Games,GGV Capital,angel,NA,2010-05-01,1136548
8D World,Games|Virtual Worlds,Spark Capital,venture,A,2008-03-01,7e+06
99Gamers,E-Commerce|Trading|Video Games,500 Startups,seed,NA,2014-11-01,1e+05
99Games Online Private Limited,Games,Ascent Capital Group,venture,B,2015-04-17,NA
A Bit Lucky,Games|Social Games,Felicis Ventures,convertible_note,NA,2010-03-15,2600000
A Bit Lucky,Games|Social Games,Felicis Ventures,venture,NA,2011-03-25,7712103
A Bit Lucky,Games|Social Games,Founder Collective,convertible_note,NA,2010-03-15,2600000
A Bit Lucky,Games|Social Games,Founder Collective,venture,NA,2011-03-25,7712103
A Bit Lucky,Games|Social Games,Lerer Hippeau Ventures,convertible_note,NA,2010-03-15,2600000
A Bit Lucky,Games|Social Games,Lerer Hippeau Ventures,venture,NA,2011-03-25,7712103
A Bit Lucky,Games|Social Games,Nexon,venture,NA,2011-03-25,7712103
A Bit Lucky,Games|Social Games,SV Angel,convertible_note,NA,2010-03-15,2600000
A Bit Lucky,Games|Social Games,SV Angel,venture,NA,2011-03-25,7712103
A Bit Lucky,Games|Social Games,XG Ventures,convertible_note,NA,2010-03-15,2600000
A Bit Lucky,Games|Social Games,Kevin Tung,venture,NA,2011-03-25,7712103
[a]list games,Games,Ayzenberg Group,seed,NA,2011-11-21,9300000
AbZorba Games,Apps|Games|Mobile|Social Media|Software,StartTech Ventures,seed,NA,2012-05-01,396998
Acclaim Games,Games,Mayfield Fund,undisclosed,NA,2007-10-18,NA
Action Online Publishing,Collectibles|Entertainment|Games|Toys,Capital Innovators,seed,NA,2011-09-01,50000
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,Rho Ventures,venture,D,2012-01-11,1.2e+07
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,RRE Ventures,venture,C,2010-12-05,6e+06
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,RRE Ventures,venture,B,2008-10-10,4520000
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,RRE Ventures,venture,D,2012-01-11,1.2e+07
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,Time Warner Investments,venture,D,2012-01-11,1.2e+07
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,Time Warner,venture,C,2010-12-05,6e+06
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,Union Square Ventures,venture,C,2010-12-05,6e+06
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,Union Square Ventures,venture,B,2008-10-10,4520000
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,Union Square Ventures,venture,A,2007-02-20,1500000
AdaptiveBlue,Entertainment|Games|Reviews and Recommendations|Semantic Web,Union Square Ventures,venture,D,2012-01-11,1.2e+07
Adknowledge,Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video,Bank of America,venture,B,2011-01-12,2e+08
Adknowledge,Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video,JMI Equity,venture,B,2011-01-12,2e+08
Adknowledge,Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video,Nokia Growth Partners,venture,B,2011-01-12,2e+08
Adknowledge,Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video,Technology Crossover Ventures,venture,A,2006-03-01,4.8e+07
Aeria Games & Entertainment,Games|Networking,ZenShin Capital,seed,NA,2007-10-01,288000
AGEIA Technologies,Games,Apex Venture Partners,venture,C,2005-10-03,27500000
AGEIA Technologies,Games,CID Equity Capital,venture,C,2005-10-03,27500000
AGEIA Technologies,Games,GGV Capital,venture,B,2004-10-04,NA
AGEIA Technologies,Games,GGV Capital,venture,C,2005-10-03,27500000
AGEIA Technologies,Games,H.I.G. Capital,venture,C,2005-10-03,27500000
AGEIA Technologies,Games,Hercules Technology Growth Capital,venture,C,2005-10-03,27500000
AGEIA Technologies,Games,Scale Venture Partners,venture,C,2005-10-03,27500000
AGEIA Technologies,Games,VentureTech Alliance,venture,C,2005-10-03,27500000
Aiming,Games,Mizuho Capital,venture,NA,2014-04-25,4396678
Airy Labs,EdTech|Education|Games|Gamification|MMO Games|Social Media,Foundation Capital,seed,NA,2011-08-03,1500000
Airy Labs,EdTech|Education|Games|Gamification|MMO Games|Social Media,Google Ventures,seed,NA,2011-08-03,1500000
Airy Labs,EdTech|Education|Games|Gamification|MMO Games|Social Media,Plug & Play Ventures,convertible_note,NA,2011-06-07,NA
Airy Labs,EdTech|Education|Games|Gamification|MMO Games|Social Media,Signia Venture Partners,seed,NA,2011-08-03,1500000
Akimbo,Games|Personal Branding|Recruiting,AT&T,venture,D,2008-02-29,4e+06
Akimbo,Games|Personal Branding|Recruiting,AT&T,venture,C,2006-06-01,15500000
Akimbo,Games|Personal Branding|Recruiting,Blueprint Ventures,venture,D,2008-02-29,4e+06
Akimbo,Games|Personal Branding|Recruiting,Blueprint Ventures,venture,C,2006-06-01,15500000
Akimbo,Games|Personal Branding|Recruiting,Cisco,venture,C,2006-06-01,15500000
Akimbo,Games|Personal Branding|Recruiting,Draper Fisher Jurvetson (DFJ),venture,D,2008-02-29,4e+06
Akimbo,Games|Personal Branding|Recruiting,Draper Fisher Jurvetson (DFJ),venture,B,2004-07-01,1.2e+07
Akimbo,Games|Personal Branding|Recruiting,Kleiner Perkins Caufield & Byers,venture,D,2008-02-29,4e+06
Akimbo,Games|Personal Branding|Recruiting,Kleiner Perkins Caufield & Byers,venture,B,2004-07-01,1.2e+07
Akimbo,Games|Personal Branding|Recruiting,Texas Venture Labs,non_equity_assistance,NA,2011-08-18,NA
Akimbo,Games|Personal Branding|Recruiting,Zone Ventures,venture,D,2008-02-29,4e+06
Alawar Entertainment,Games,Almaz Capital,venture,NA,2010-02-06,3e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,Amplify.LA,seed,NA,2015-05-19,5e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,Amplify.LA,seed,NA,2015-02-01,NA
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,Basset Investment Group,seed,NA,2015-05-19,5e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,IDG Ventures USA,seed,NA,2015-05-19,5e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,KEC Ventures,seed,NA,2015-05-19,5e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,Melo7 Tech Partners,seed,NA,2015-05-19,5e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,Metamorphic Ventures,seed,NA,2015-05-19,5e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,QueensBridge Venture Partners,seed,NA,2015-05-19,5e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,Upfront Ventures,seed,NA,2015-05-19,5e+06
AlphaDraft,Fantasy Sports|Games|Social Games|Video Games,WME,seed,NA,2015-05-19,5e+06
Aniboom,Collaboration|Games|Video,Draper Fisher Jurvetson (DFJ),venture,B,2008-06-01,1e+07
Animoca,Games,Accel,venture,A,2011-11-15,NA
Animoca,Games,Intel Capital,venture,A,2011-11-15,NA
Anki,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics,Andreessen Horowitz,venture,C,2014-09-26,5.5e+07
Anki,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics,Andreessen Horowitz,venture,A,2013-06-01,5e+07
Anki,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics,J.P. Morgan Securities Inc.,venture,C,2014-09-26,5.5e+07
Just Sing It,Games,Eniac Ventures,venture,NA,2013-04-25,1e+06
Just Sing It,Games,Lerer Hippeau Ventures,venture,NA,2013-04-25,1e+06
Just Sing It,Games,Tribeca Venture Partners,venture,NA,2013-04-25,1e+06
Just Sing It,Games,Dennis Phelps,venture,NA,2013-04-25,1e+06
Apmetrix,Analytics|Apps|Collectibles|Games|Mobile|Software|Tracking,Analytics Ventures,undisclosed,NA,2013-09-22,NA
Apmetrix,Analytics|Apps|Collectibles|Games|Mobile|Software|Tracking,KI Investment Holdings,undisclosed,NA,2013-09-22,NA
Appington,Advertising Platforms|Apps|Games|Mobile|Mobile Advertising,Tandem Capital,seed,NA,2013-06-25,1200000
Applifier,Advertising|Facebook Applications|Games|Social Games,MHS Capital,seed,NA,2011-02-03,2e+06
Applifier,Advertising|Facebook Applications|Games|Social Games,MHS Capital,venture,B,2012-12-13,4e+06
AppyZoo,Analytics|Apps|Games|Mobile,500 Startups,seed,NA,2011-06-01,NA
AppyZoo,Analytics|Apps|Games|Mobile,AngelPad,seed,NA,2011-01-01,NA
Arbiter,Games,Tandem Capital,convertible_note,NA,2014-07-01,NA
Arccos Golf,Games|Sensors,LaunchCapital,venture,A,2013-07-01,5e+06
Arkadium,Games|Social Games,Edison Partners,venture,A,2013-03-14,5e+06
Arroyo Video Solutions,Games,Comcast Ventures,venture,B,2005-03-02,1.2e+07
Arroyo Video Solutions,Games,DCM,venture,B,2005-03-02,1.2e+07
Arroyo Video Solutions,Games,DCM,venture,A,2004-04-26,1.3e+07
Arroyo Video Solutions,Games,Foundation Capital,venture,B,2005-03-02,1.2e+07
Arroyo Video Solutions,Games,Foundation Capital,venture,A,2004-04-26,1.3e+07
Arroyo Video Solutions,Games,Matrix Partners,venture,B,2005-03-02,1.2e+07
Arroyo Video Solutions,Games,Time Warner Investments,venture,B,2005-03-02,1.2e+07
Arroyo Video Solutions,Games,Time Warner Investments,venture,A,2004-04-26,1.3e+07
