company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Andreessen Horowitz,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Data Collective,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Khosla Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Pantera Capital,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Qualcomm Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,RRE Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Winklevoss Capital,venture,A,2013-11-17,5050000
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Karl Mehta,venture,A,2013-11-17,5050000
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Peter Thiel,venture,NA,2015-03-10,1.16e+08
247 Techies,Hardware + Software,500 Startups,seed,NA,2012-11-05,6e+05
247 Techies,Hardware + Software,Shailesh Rao,seed,NA,2012-11-05,6e+05
4moms,Hardware + Software,Bain Capital Ventures,venture,B,2014-09-10,4e+07
4moms,Hardware + Software,Bain Capital Ventures,venture,A,2012-08-09,2e+07
4moms,Hardware + Software,Bain Capital Ventures,venture,D,2015-09-29,NA
4moms,Hardware + Software,Castanea,venture,B,2014-09-10,4e+07
4moms,Hardware + Software,Castanea,venture,D,2015-09-29,NA
4moms,Hardware + Software,Innovation Works,seed,NA,2006-01-01,NA
4moms,Hardware + Software,Innovation Works,seed,NA,2005-06-17,NA
4moms,Hardware + Software,West Capital Advisors LLC,venture,D,2015-09-29,NA
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,H&Q Asia Pacific,venture,A,2005-01-01,6e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,H&Q Asia Pacific,venture,B,2006-11-13,9e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Harbinger Ventures,venture,A,2005-01-01,6e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Harbinger Ventures,venture,C,2008-07-14,2.3e+07
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Harbinger Ventures,venture,B,2006-11-13,9e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Mitsui & Co. Global Investment,venture,C,2008-07-14,2.3e+07
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Summit Partners,private_equity,NA,2013-10-03,8e+07
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Triton Ventures,venture,A,2005-01-01,6e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Triton Ventures,venture,C,2008-07-14,2.3e+07
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Triton Ventures,venture,B,2006-11-13,9e+06
AAC Technologies Holdings,Hardware + Software,GGV Capital,venture,B,2004-11-10,NA
Acco Brands,Hardware + Software,Pond Ventures,venture,A,2007-02-01,1e+07
AccuVein,Hardware + Software,Bessemer Venture Partners,venture,B,2011-07-28,22500000
Actions Semiconductor,Hardware|Hardware + Software|Semiconductors,Intel Capital,venture,A,2005-09-16,8e+07
Actions Semiconductor,Hardware|Hardware + Software|Semiconductors,New Enterprise Associates,venture,A,2005-09-16,8e+07
ActuatedMedical,Hardware + Software,National Science Foundation,venture,NA,2012-03-06,150000
AdMobilize,Advertising|Analytics|Apps|Hardware|Internet of Things|Media|Software|Technology,Rokk3r Labs,seed,A,2015-01-02,4500000
Advanced Manufacturing Control Systems,Hardware + Software|Software,Highland Capital Partners,venture,NA,2014-01-23,30235100
Advanced Manufacturing Control Systems,Hardware + Software|Software,Silicon Valley Bank,debt_financing,NA,2014-07-02,11282874
Advanced Photonix,Analytics|Hardware + Software,In-Q-Tel,venture,NA,2010-06-30,562336
Aegis Semiconductor,Embedded Hardware and Software,Alta Partners,venture,B,2002-03-11,1.6e+07
Aegis Semiconductor,Embedded Hardware and Software,Alta Partners,venture,C,2004-05-06,1e+07
Aegis Semiconductor,Embedded Hardware and Software,Megunticook Management,venture,B,2002-03-11,1.6e+07
Aegis Semiconductor,Embedded Hardware and Software,Megunticook Management,venture,C,2004-05-06,1e+07
Aegis Semiconductor,Embedded Hardware and Software,St. Paul Venture Capital,venture,B,2002-03-11,1.6e+07
Aegis Semiconductor,Embedded Hardware and Software,St. Paul Venture Capital,venture,C,2004-05-06,1e+07
Aegis Semiconductor,Embedded Hardware and Software,Stata Venture Partners,venture,B,2002-03-11,1.6e+07
Aegis Semiconductor,Embedded Hardware and Software,Stata Venture Partners,venture,C,2004-05-06,1e+07
Aegis Semiconductor,Embedded Hardware and Software,YankeeTek Ventures,venture,B,2002-03-11,1.6e+07
Aegis Semiconductor,Embedded Hardware and Software,YankeeTek Ventures,venture,C,2004-05-06,1e+07
Aehr Test Systems,Hardware + Software,Summit Partners,undisclosed,NA,1985-09-19,NA
Agile Systems,Hardware + Software,Covington Capital,venture,NA,2005-05-12,7e+06
Agile Systems,Hardware + Software,Expansion Capital Partners,venture,NA,2005-05-12,7e+06
Agile Systems,Hardware + Software,RBC Capital Markets,venture,NA,2005-05-12,7e+06
agÃ¡mi Systems,Hardware + Software,Advanced Equities,venture,C,2007-11-21,5e+07
agÃ¡mi Systems,Hardware + Software,Alta Partners,venture,C,2007-11-21,5e+07
agÃ¡mi Systems,Hardware + Software,Apex Venture Partners,venture,C,2007-11-21,5e+07
agÃ¡mi Systems,Hardware + Software,DAG Ventures,venture,C,2007-11-21,5e+07
agÃ¡mi Systems,Hardware + Software,Kleiner Perkins Caufield & Byers,venture,C,2007-11-21,5e+07
agÃ¡mi Systems,Hardware + Software,New Enterprise Associates,venture,C,2007-11-21,5e+07
agÃ¡mi Systems,Hardware + Software,TIF Ventures Pte,venture,C,2007-11-21,5e+07
AIO Robotics,3D Printing|Hardware + Software,United Talent Agency,angel,NA,2015-07-01,NA
AIO Robotics,3D Printing|Hardware + Software,USC Viterbi Startup Garage,angel,NA,2015-07-01,NA
Akonia Holographics,Hardware|Printing|Technology,Acadia Woods Partners,venture,A,2012-08-10,11600000
alaTest,Consumer Electronics|Hardware + Software|Opinions|Reviews and Recommendations|Semantic Web|Software,BDMI,venture,C,2008-11-01,NA
Aldebaran Robotics,Hardware + Software,Intel Capital,venture,C,2011-06-08,1.3e+07
Aledia,Hardware + Software,ATI Technologies,venture,B,2015-06-18,3.1e+07
Aledia,Hardware + Software,Braemar Energy Ventures,venture,B,2015-06-18,3.1e+07
Aledia,Hardware + Software,Braemar Energy Ventures,venture,A,2013-04-03,12828000
Alereon,Hardware|Semiconductors,Austin Ventures,venture,A,2006-01-06,31500000
Alereon,Hardware|Semiconductors,Austin Ventures,venture,B,2005-10-25,2e+07
Alereon,Hardware|Semiconductors,Austin Ventures,venture,B,2007-09-13,18500000
Alereon,Hardware|Semiconductors,Austin Ventures,venture,NA,2008-11-05,4e+07
Alereon,Hardware|Semiconductors,Centennial Ventures,venture,A,2006-01-06,31500000
Alereon,Hardware|Semiconductors,Centennial Ventures,venture,B,2005-10-25,2e+07
Alereon,Hardware|Semiconductors,Centennial Ventures,venture,B,2007-09-13,18500000
Alereon,Hardware|Semiconductors,Centennial Ventures,venture,NA,2008-11-05,4e+07
Alereon,Hardware|Semiconductors,Duchossois Technology Partners,venture,A,2006-01-06,31500000
Alereon,Hardware|Semiconductors,Duchossois Technology Partners,venture,NA,2012-06-05,6e+06
Alereon,Hardware|Semiconductors,Duchossois Technology Partners,venture,B,2007-09-13,18500000
Alereon,Hardware|Semiconductors,Duchossois Technology Partners,venture,NA,2008-11-05,4e+07
Alereon,Hardware|Semiconductors,ECentury Capital Partners,venture,A,2006-01-06,31500000
Alereon,Hardware|Semiconductors,ECentury Capital Partners,venture,B,2007-09-13,18500000
