company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
1-800-DENTIST,Health and Wellness,Bain Capital Ventures,undisclosed,NA,2010-08-19,NA
1-800-DENTIST,Health and Wellness,Cue Ball,undisclosed,NA,2010-08-19,NA
Redox,Health Care|Health Care Information Technology|Hospitals,.406 Ventures,venture,A,2015-10-20,3530000
Redox,Health Care|Health Care Information Technology|Hospitals,DreamIt Ventures,seed,NA,2014-11-26,470000
Redox,Health Care|Health Care Information Technology|Hospitals,Flybridge Capital Partners,venture,A,2015-10-20,3530000
Redox,Health Care|Health Care Information Technology|Hospitals,Healthx Ventures,venture,A,2015-10-20,3530000
Redox,Health Care|Health Care Information Technology|Hospitals,Mark Bakken,seed,NA,2014-11-26,470000
12 Labs,Health and Wellness|Personal Health,Serra Ventures,seed,NA,2014-11-26,935000
12 Labs,Health and Wellness|Personal Health,Evan Schwartz,seed,NA,2014-11-26,935000
12 Labs,Health and Wellness|Personal Health,Marc Benioff,seed,NA,2014-11-26,935000
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,Betaspring,seed,NA,2012-02-06,14000
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,"Mayfly Capital, LLC",angel,NA,2013-01-22,5e+05
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,National Science Foundation,grant,NA,2014-01-01,30000
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,National Science Foundation,grant,NA,2013-07-01,150000
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,Providence Economic Development Partnership,seed,NA,2012-04-20,55000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,Asset Management Ventures (AMV),seed,NA,2015-07-21,1700000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,DreamIt Ventures,seed,NA,2011-08-10,NA
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,DreamIt Ventures,seed,NA,2015-07-21,1700000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,Great Oaks Venture Capital,seed,NA,2015-07-21,1700000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,iSeed Ventures,seed,NA,2015-07-21,1700000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,Meyer Ventures,seed,NA,2015-07-21,1700000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,Rock Health,seed,NA,2015-07-21,1700000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,Rock My World,seed,NA,2015-07-21,1700000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,Texas Medical Center,seed,NA,2015-07-21,1700000
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,Wonder Ventures,seed,NA,2015-07-21,1700000
Babyscripts,Health and Wellness|Mobile Health,1776 Ventures,seed,NA,2013-12-23,9e+05
Babyscripts,Health and Wellness|Mobile Health,1776 Ventures,seed,NA,2015-04-10,1e+06
1Life Healthcare,Health and Wellness|Health Care|Services,Benchmark,venture,E,2013-03-21,3e+07
1Life Healthcare,Health and Wellness|Health Care|Services,DAG Ventures,venture,E,2013-03-21,3e+07
1Life Healthcare,Health and Wellness|Health Care|Services,Google Ventures,venture,E,2013-03-21,3e+07
1Life Healthcare,Health and Wellness|Health Care|Services,Maverick Capital,venture,E,2013-03-21,3e+07
1Life Healthcare,Health and Wellness|Health Care|Services,Oak Investment Partners,venture,E,2013-03-21,3e+07
20/20 Gene Systems Inc.,Biotechnology|Health Diagnostics,Maryland Venture Fund,venture,NA,2012-09-25,150000
2Morrow Inc,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,Alliance of Angels,debt_financing,NA,2015-03-16,50000
"3D Operations, Inc.",3D Printing|Health and Wellness|Health Care,Chattanooga Renaissance Fund,seed,NA,2014-05-15,7500
6SensorLabs,Health and Wellness|Specialty Foods,Lemnos Labs,seed,NA,2014-09-11,4e+06
6SensorLabs,Health and Wellness|Specialty Foods,SoftTech VC,seed,NA,2014-09-11,4e+06
6SensorLabs,Health and Wellness|Specialty Foods,Upfront Ventures,seed,NA,2014-09-11,4e+06
6SensorLabs,Health and Wellness|Specialty Foods,Xandex Investments LLP,seed,NA,2014-09-11,4e+06
7 Cups of Tea,Health and Wellness|Health Care|Health Services Industry,Deciens Capital,seed,NA,2013-03-01,NA
7 Cups of Tea,Health and Wellness|Health Care|Health Services Industry,FundersClub,seed,NA,2013-09-01,NA
7 Cups of Tea,Health and Wellness|Health Care|Health Services Industry,Wefunder,seed,NA,2013-03-01,NA
7 Cups of Tea,Health and Wellness|Health Care|Health Services Industry,Y Combinator,seed,NA,2013-03-01,NA
7 Cups of Tea,Health and Wellness|Health Care|Health Services Industry,Rob Emrich,seed,NA,2013-03-01,NA
AAVLife,Health Care Information Technology|Medical|Therapeutics,Versant Ventures,venture,A,2014-04-15,1.2e+07
Aavya Health,Health and Insurance|Health and Wellness|Health Care Information Technology|Retail,Healthbox,seed,NA,2012-08-01,NA
ABILITY Network,Health Care,Bain Capital Ventures,venture,C,2011-05-17,2.7e+07
ABILITY Network,Health Care,Lemhi Ventures,venture,C,2011-05-17,2.7e+07
ABILITY Network,Health Care,Lemhi Ventures,venture,NA,2007-01-01,5e+06
ABILITY Network,Health Care,Summit Partners,private_equity,NA,2014-04-07,5.5e+08
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,.406 Ventures,venture,B,2014-03-18,6e+06
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,.406 Ventures,venture,C,2015-06-09,1.2e+07
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,.406 Ventures,venture,A,2013-05-14,3e+06
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,BlueCross BlueShield Venture Partners,venture,B,2014-03-18,6e+06
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,BlueCross BlueShield Venture Partners,venture,C,2015-06-09,1.2e+07
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,HLM Venture Partners,venture,C,2015-06-09,1.2e+07
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,Sandbox Industries,venture,B,2014-03-18,6e+06
AbilTo,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,Sandbox Industries,venture,C,2015-06-09,1.2e+07
Abiogenix,Fitness|Health and Wellness|Health Care|Medical Devices|Medication Adherence,Healthbox,seed,NA,2012-08-15,NA
ABPathfinder,Health and Wellness,Twin Rivers Holdings,venture,A,2012-12-05,4e+05
ABPathfinder,Health and Wellness,Dundee Venture Capital,venture,A,2012-12-05,4e+05
ABPathfinder,Health and Wellness,FCA Venture Partners,venture,A,2014-11-26,1850000
ABT Molecular Imaging,Health Care,Council Capital,venture,C,2012-09-13,6e+06
ABT Molecular Imaging,Health Care,Council & Enhanced Tennessee Fund,venture,C,2012-09-13,6e+06
ABT Molecular Imaging,Health Care,Intersouth Partners,venture,A,2010-01-21,9e+06
ABT Molecular Imaging,Health Care,Intersouth Partners,venture,C,2012-09-13,6e+06
ABT Molecular Imaging,Health Care,Mountain Group Capital,undisclosed,NA,2013-09-01,1e+06
ABT Molecular Imaging,Health Care,Mountain Group Capital,venture,C,2012-09-13,6e+06
ABT Molecular Imaging,Health Care,River Cities Capital Funds,venture,C,2012-09-13,6e+06
ACADIA Pharmaceuticals,Biotechnology|Health Care,Hambrecht & Quist Capital Management,venture,F,2003-03-31,2.5e+07
ACADIA Pharmaceuticals,Biotechnology|Health Care,New Enterprise Associates,venture,NA,2011-01-11,1.5e+07
ACADIA Pharmaceuticals,Biotechnology|Health Care,OrbiMed Advisors,venture,F,2003-03-31,2.5e+07
ACADIA Pharmaceuticals,Biotechnology|Health Care,Oxford Bioscience Partners,venture,F,2003-03-31,2.5e+07
ACADIA Pharmaceuticals,Biotechnology|Health Care,Venrock,venture,NA,2011-01-11,1.5e+07
Accel Diagnostics,Diagnostics|Health Care|Health Diagnostics|Medical Devices,AlphaLab,seed,NA,2012-02-10,25000
Accel Diagnostics,Diagnostics|Health Care|Health Diagnostics|Medical Devices,Innovation Works,seed,NA,2013-04-25,NA
Accel Diagnostics,Diagnostics|Health Care|Health Diagnostics|Medical Devices,Innovation Works,convertible_note,NA,2015-01-14,NA
AcceleCare Wound Centers,Health Care|Hospitals|Medical,Bain Capital,venture,NA,2007-07-03,1e+07
AcceleCare Wound Centers,Health Care|Hospitals|Medical,River Cities Capital Funds,venture,B,2007-12-11,3500000
AcceleCare Wound Centers,Health Care|Hospitals|Medical,SV Life Sciences,venture,NA,2007-07-03,1e+07
Accelerated Orthopedic Technologies,Health Care,Elm Street Ventures,seed,NA,2012-05-18,150000
Access Closure,Health Care,New Leaf Venture Partners,venture,NA,2012-10-01,998100
