company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
One Inc.,Mobile,Camp One Ventures,seed,NA,2014-02-05,150000
One Inc.,Mobile,Camp One Ventures,undisclosed,NA,2013-02-05,NA
One Inc.,Mobile,CRV,seed,NA,2011-07-20,1000050
One Inc.,Mobile,General Catalyst Partners,seed,NA,2011-07-20,1000050
One Inc.,Mobile,SV Angel,seed,NA,2011-07-20,1000050
One Inc.,Mobile,True Ventures,seed,NA,2011-07-20,1000050
One Inc.,Mobile,Gary Vaynerchuk,seed,NA,2011-07-20,1000050
One Inc.,Mobile,Keith Rabois,seed,NA,2011-07-20,1000050
One Inc.,Mobile,Naval Ravikant,seed,NA,2011-07-20,1000050
One Inc.,Mobile,Rick Marini,seed,NA,2014-02-05,150000
One Inc.,Mobile,VK Rajaram,seed,NA,2014-02-05,150000
10tracks,iOS|Mobile|Music,Microsoft Ventures,venture,NA,2014-02-03,NA
Babyscripts,Health and Wellness|Mobile Health,1776 Ventures,seed,NA,2013-12-23,9e+05
Babyscripts,Health and Wellness|Mobile Health,1776 Ventures,seed,NA,2015-04-10,1e+06
1World Online,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,DEFTA Partners,venture,A,2015-08-13,2500000
2can,Credit Cards|Mobile,Almaz Capital,venture,NA,2015-11-18,1300000
2can,Credit Cards|Mobile,Almaz Capital,venture,B,2014-03-31,5e+06
2can,Credit Cards|Mobile,Almaz Capital,venture,A,2012-09-01,2e+06
2Morrow Inc,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,Alliance of Angels,debt_financing,NA,2015-03-16,50000
30 Second Showcase,Apps|Creative|Design|Finance|Mobile|Photography|Software,TechLaunch,seed,NA,2013-05-20,25000
365Scores,Android|Apps|iPhone|Mobile|Sports,Titanium Investments,venture,B,2014-09-29,5500000
3LM,Android|Enterprises|Mobile,Accel,seed,NA,2010-07-01,1500000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,NA,2013-04-01,4288000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Draper Fisher Jurvetson (DFJ),venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,"Gannett Co., Inc.",venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Mitsui & Co. Global Investment,venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Peacock Equity,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Peacock Equity,venture,E,2007-10-31,2.5e+08
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Sand Hill Capital,venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Selby Venture Partners,venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,NA,2009-01-22,2e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,D,2007-06-01,1e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,NA,2013-04-01,4288000
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,C,2005-03-01,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,U.S. Venture Partners (USVP),venture,D,2011-10-27,1.4e+07
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Vulcan Capital,venture,E,2013-08-04,8e+06
4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,Vulcan Capital,venture,D,2011-10-27,1.4e+07
4tiitoo GmbH,3D Technology|Augmented Reality|Computers|Computer Vision|Enterprise Software|Human Computer Interaction|Mobile|Predictive Analytics|Software|Speech Recognition|Tablets|User Experience Design,Intel Capital,venture,B,2011-11-15,NA
5 Million Shoppers,Internet|Mobile,VentureSpur,seed,NA,2014-08-07,15000
51yongche,Android|Mobile|Software,Sequoia Capital,venture,C,2015-04-11,NA
5BARz International,Mobile|Technology|Wireless,New Ground Ventures,post_ipo_equity,NA,2014-11-17,3500000
5th Planet Games,Games|Mobile|Mobile Games|Online Gaming,DCA Capital Partners,venture,NA,2014-07-16,3e+06
5th Planet Games,Games|Mobile|Mobile Games|Online Gaming,Moneta Ventures,venture,NA,2014-07-16,3e+06
Shoppable,Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software,500 Startups,seed,NA,2011-10-26,NA
91 Boyuan Wireles,Mobile,Vertex Ventures,venture,NA,2011-12-01,2e+07
91 Wireless,Mobile,Vertex Ventures,angel,NA,2011-12-01,3e+07
Applauze,Mobile|Publishing,500 Startups,seed,NA,2012-01-26,3250000
Applauze,Mobile|Publishing,500 Startups,seed,NA,2011-01-08,NA
Applauze,Mobile|Publishing,CrunchFund,seed,NA,2012-01-26,3250000
Applauze,Mobile|Publishing,Felicis Ventures,seed,NA,2012-01-26,3250000
Applauze,Mobile|Publishing,Great Oaks Venture Capital,venture,A,2013-10-23,7200000
Applauze,Mobile|Publishing,Kapor Capital,seed,NA,2012-01-26,3250000
Applauze,Mobile|Publishing,True Ventures,venture,A,2013-10-23,7200000
Applauze,Mobile|Publishing,Vayner/RSE,venture,A,2013-10-23,7200000
Applauze,Mobile|Publishing,James Joaquin,seed,NA,2012-01-26,3250000
Applauze,Mobile|Publishing,Raj Sandhu,venture,A,2013-10-23,7200000
99Taxis,Android|iOS|Mobile|Mobile Payments|SaaS|Taxis,Qualcomm Incorporated,venture,B,2015-04-08,2.5e+07
99Taxis,Android|iOS|Mobile|Mobile Payments|SaaS|Taxis,Qualcomm Ventures,seed,NA,2013-07-05,NA
99Taxis,Android|iOS|Mobile|Mobile Payments|SaaS|Taxis,Qualcomm Ventures,venture,A,2015-02-02,NA
99Taxis,Android|iOS|Mobile|Mobile Payments|SaaS|Taxis,Tiger Global Management,venture,B,2015-04-08,2.5e+07
99Taxis,Android|iOS|Mobile|Mobile Payments|SaaS|Taxis,Tiger Global Management,venture,A,2015-02-02,NA
9tong.com,Mobile,Matrix Partners,seed,NA,2011-07-15,NA
A la Mobile,Mobile,Menlo Ventures,venture,B,2008-05-02,6750000
A la Mobile,Mobile,Venrock,venture,B,2007-03-01,4050000
A1 Software Group Inc (Selly Automotive),Android|Business Productivity|CRM|iOS|iPad|iPhone|Mobile|Point of Sale|Productivity Software,Blue Startups,seed,NA,2014-10-14,20000
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Alliance Capital Ventures,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,General Electric (GE),venture,E,2009-04-13,6.9e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,General Electric (GE),venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Madison Parker Capital,venture,B,2006-02-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Massachusetts Institute of Technology - MIT,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Motorola Solutions,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,North Bridge Venture Partners & Growth Equity,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Procter & Gamble (P&G),venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Qualcomm Incorporated,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,Sequoia Capital,venture,D,2007-10-01,3e+07
A123 Systems,Batteries|Clean Technology|Energy Storage|Mobile,U.S. Department of Energy,grant,NA,2009-08-05,2.49e+08
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Camp One Ventures,undisclosed,NA,2013-05-01,NA
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Plug & Play Ventures,undisclosed,NA,2011-07-19,NA
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Plug & Play Ventures,venture,A,2012-03-08,NA
Aarki,Advertising|Mobile|Mobile Advertising|Optimization,Plug & Play Ventures,convertible_note,NA,2011-06-01,NA
