company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
3SI Security Systems,Physical Security|Security,American Capital Strategies,venture,NA,2002-07-29,1.3e+07
3VR,Security,DAG Ventures,venture,C,2006-09-28,9e+06
3VR,Security,Focus Ventures,venture,E,2010-12-21,1.7e+07
3VR,Security,In-Q-Tel,venture,B,2006-01-17,1e+07
3VR,Security,Kleiner Perkins Caufield & Byers,debt_financing,NA,2013-10-04,3567194
3VR,Security,Kleiner Perkins Caufield & Byers,venture,B,2006-01-17,1e+07
3VR,Security,Kleiner Perkins Caufield & Byers,venture,C,2006-09-28,9e+06
3VR,Security,Menlo Ventures,debt_financing,NA,2013-10-04,3567194
3VR,Security,Menlo Ventures,venture,E,2010-12-21,1.7e+07
3VR,Security,Menlo Ventures,venture,D,2009-08-20,1.2e+07
3VR,Security,Opus Bank,venture,NA,2015-01-13,8e+06
3VR,Security,VantagePoint Capital Partners,venture,A,2009-01-15,5e+06
3VR,Security,VantagePoint Capital Partners,venture,B,2006-01-17,1e+07
3VR,Security,VantagePoint Capital Partners,venture,C,2006-09-28,9e+06
3X Systems,Flash Storage|Security,North Coast Angel Fund,venture,A,2008-02-20,1700000
3X Systems,Flash Storage|Security,Rev1 Ventures,venture,A,2008-02-20,1700000
41st Parameter,Security,Icon Ventures,venture,C,2007-08-09,10070000
41st Parameter,Security,Icon Ventures,venture,D,2012-04-11,1.3e+07
41st Parameter,Security,Kleiner Perkins Caufield & Byers,venture,B,2006-05-08,11200000
41st Parameter,Security,Kleiner Perkins Caufield & Byers,venture,C,2007-08-09,10070000
41st Parameter,Security,Kleiner Perkins Caufield & Byers,venture,D,2012-04-11,1.3e+07
41st Parameter,Security,Norwest Venture Partners - NVP,venture,B,2006-05-08,11200000
41st Parameter,Security,Norwest Venture Partners - NVP,venture,C,2007-08-09,10070000
41st Parameter,Security,Norwest Venture Partners - NVP,venture,D,2012-04-11,1.3e+07
41st Parameter,Security,Vilicus Ventures,venture,D,2012-04-11,1.3e+07
5nine Software,Information Technology|Security|Virtualization,Insight Venture Partners,venture,NA,2014-11-19,NA
71lbs,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,Techstars Chicago (Formerly Excelerate Labs),seed,NA,2012-06-01,75000
71lbs,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,IDEA Fund Partners,angel,NA,2014-06-08,2e+06
71lbs,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,OCA Ventures,seed,NA,2013-01-08,75000
71lbs,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,Pritzker Group Venture Capital,seed,NA,2012-06-01,75000
71lbs,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,Kevin Henrikson,angel,NA,2012-03-20,NA
71lbs,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,Mark Friedgan,angel,NA,2012-03-20,NA
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,H&Q Asia Pacific,venture,A,2005-01-01,6e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,H&Q Asia Pacific,venture,B,2006-11-13,9e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Harbinger Ventures,venture,A,2005-01-01,6e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Harbinger Ventures,venture,C,2008-07-14,2.3e+07
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Harbinger Ventures,venture,B,2006-11-13,9e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Mitsui & Co. Global Investment,venture,C,2008-07-14,2.3e+07
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Summit Partners,private_equity,NA,2013-10-03,8e+07
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Triton Ventures,venture,A,2005-01-01,6e+06
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Triton Ventures,venture,C,2008-07-14,2.3e+07
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,Triton Ventures,venture,B,2006-11-13,9e+06
Accellion,Enterprise Software|Security,Riverwood Capital,venture,C,2012-01-04,1.2e+07
AccelOps,Analytics|Cloud Computing|Cloud Management|Networking|SaaS|Security|Virtualization,ATA Ventures,venture,B,2012-05-01,1.8e+07
AccelOps,Analytics|Cloud Computing|Cloud Management|Networking|SaaS|Security|Virtualization,Miramar Venture Partners,venture,A,2007-10-01,7e+06
AccelOps,Analytics|Cloud Computing|Cloud Management|Networking|SaaS|Security|Virtualization,U.S. Venture Partners (USVP),venture,B,2012-05-01,1.8e+07
Accertify,Credit Cards|Fraud Detection|Security,Intel Capital,venture,A,2008-06-03,4e+06
Access Media 3,Security,ORIX Venture Finance,venture,NA,2012-02-09,3e+07
Access Media 3,Security,Petra Capital Partners,venture,NA,2012-02-09,3e+07
Accountable,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,Rock Health,seed,NA,2014-08-18,NA
Accountable,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,Techstars,seed,NA,2013-08-01,158000
Accuvant,Security,The Blackstone Group,undisclosed,NA,2014-03-14,NA
Accuvant,Security,Sverica International,private_equity,NA,2008-07-01,NA
Acendi Interactive,Security,LexisNexis,venture,B,2009-01-09,2090000
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Felicis Ventures,venture,A,2013-06-04,7300000
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Harrison Metal,venture,A,2013-06-04,7300000
Acompli,Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS,Redpoint Ventures,venture,A,2013-06-04,7300000
Acronis,Flash Storage|Homeland Security|Storage|Web Hosting,Insight Venture Partners,venture,NA,2004-01-01,1.1e+07
Acronis,Flash Storage|Homeland Security|Storage|Web Hosting,OpenView Venture Partners,venture,NA,2004-01-01,1.1e+07
ActiveTrak,Mobile Security|Security|Software,ProtectCELL,angel,NA,2010-03-09,5e+05
Adallom,Cloud Computing|Enterprises|Security,BDS Venture Fund,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Hewlett Packard Ventures,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Rembrandt Venture Partners,venture,C,2015-04-14,3e+07
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,B,2014-01-20,1.5e+07
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,A,2012-12-01,4500000
Adallom,Cloud Computing|Enterprises|Security,Sequoia Capital,venture,C,2015-04-14,3e+07
AdaptiveMobile,Mobile|Security|Telecommunications,Intel Capital,venture,A,2006-04-20,5670000
