company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
3i Systems,Semiconductors,BlueRun Ventures,venture,B,2007-08-20,6500000
3i Systems,Semiconductors,BlueRun Ventures,venture,NA,2010-03-01,5e+06
Accent Optical Technologies,Semiconductors|Technology|Wireless,Winfield Capital Corp,venture,NA,2000-12-20,15900000
ACCO Semiconductor,Semiconductors,Foundation Capital,venture,D,2013-02-06,12191919
AccuSilicon,Semiconductors,InnoSpring Seed Fund,seed,NA,2012-04-22,NA
Achronix Semiconductor,Semiconductors,Argonaut Partners,venture,NA,2012-08-01,9842436
Achronix Semiconductor,Semiconductors,Argonaut Partners,venture,B,2008-10-15,5.2e+07
Achronix Semiconductor,Semiconductors,Battery Ventures,venture,B,2008-10-15,5.2e+07
Achronix Semiconductor,Semiconductors,Battery Ventures,venture,A,2007-01-23,25400000
Achronix Semiconductor,Semiconductors,Easton Capital,venture,NA,2012-08-01,9842436
Achronix Semiconductor,Semiconductors,Easton Capital,venture,B,2008-10-15,5.2e+07
Achronix Semiconductor,Semiconductors,Easton Capital,venture,A,2007-01-23,25400000
Achronix Semiconductor,Semiconductors,Entrepia Ventures,venture,B,2008-10-15,5.2e+07
Achronix Semiconductor,Semiconductors,Entrepia Ventures,venture,A,2007-01-23,25400000
Achronix Semiconductor,Semiconductors,New Science Ventures,venture,NA,2012-08-01,9842436
Achronix Semiconductor,Semiconductors,New Science Ventures,venture,B,2008-10-15,5.2e+07
Achronix Semiconductor,Semiconductors,New Science Ventures,venture,A,2007-01-23,25400000
Actions Semiconductor,Hardware|Hardware + Software|Semiconductors,Intel Capital,venture,A,2005-09-16,8e+07
Actions Semiconductor,Hardware|Hardware + Software|Semiconductors,New Enterprise Associates,venture,A,2005-09-16,8e+07
Active-Semi,Semiconductors,Silicon Valley Bank,debt_financing,NA,2011-06-15,6e+06
Adesto Technologies,Semiconductors,Adams Street Partners,venture,NA,2010-06-29,3500000
Adesto Technologies,Semiconductors,Altera,venture,D,2012-09-11,13999995
Adesto Technologies,Semiconductors,Applied Ventures,venture,NA,2010-06-29,3500000
Adesto Technologies,Semiconductors,ARCH Venture Partners,venture,NA,2010-06-29,3500000
Adesto Technologies,Semiconductors,ARCH Venture Partners,venture,D,2012-09-11,13999995
Adesto Technologies,Semiconductors,ATA Ventures,venture,D,2012-09-11,13999995
Adesto Technologies,Semiconductors,Harris & Harris Group,venture,NA,2010-06-29,3500000
