company_name,company_category_list,investor_name,funding_round_type,funding_round_code,funded_at,raised_amount_usd
1010data,Software,Norwest Venture Partners - NVP,venture,NA,2010-03-08,3.5e+07
11i Solutions,Enterprise Software,Steel Pier Capital Advisors,venture,NA,2011-03-22,1800000
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,Betaspring,seed,NA,2012-02-06,14000
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,"Mayfly Capital, LLC",angel,NA,2013-01-22,5e+05
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,National Science Foundation,grant,NA,2014-01-01,30000
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,National Science Foundation,grant,NA,2013-07-01,150000
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,Providence Economic Development Partnership,seed,NA,2012-04-20,55000
15Five,Software,500 Startups,angel,NA,2013-01-15,1e+06
15Five,Software,DominateFund,angel,NA,2013-01-15,1e+06
15Five,Software,Jumpstart Ventures,angel,NA,2013-01-15,1e+06
15Five,Software,Matrix Partners,seed,NA,2014-10-02,2200000
15Five,Software,Richmond Management,angel,NA,2013-01-15,1e+06
15Five,Software,Slow Ventures,seed,NA,2014-10-02,2200000
15Five,Software,Benjamin Ling,angel,NA,2013-01-15,1e+06
15Five,Software,Jason Calacanis,angel,NA,2013-01-15,1e+06
15Five,Software,Josh Hannah,seed,NA,2014-10-02,2200000
15Five,Software,William Guttman,angel,NA,2013-01-15,1e+06
170 Systems,Software,Polaris Partners,venture,A,2002-04-16,1.4e+07
1World Online,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,DEFTA Partners,venture,A,2015-08-13,2500000
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Andreessen Horowitz,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Data Collective,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Khosla Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Pantera Capital,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Qualcomm Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,RRE Ventures,venture,NA,2015-03-10,1.16e+08
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Winklevoss Capital,venture,A,2013-11-17,5050000
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Karl Mehta,venture,A,2013-11-17,5050000
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,Peter Thiel,venture,NA,2015-03-10,1.16e+08
21viaNet,Software|Web Hosting,GGV Capital,venture,C,2011-01-14,NA
21viaNet,Software|Web Hosting,GGV Capital,venture,B,2008-02-13,NA
2345.com,Software,Sequoia Capital,venture,B,2010-10-01,NA
[24]7,Customer Service|Predictive Analytics|Services|Software|Technology,Sequoia Capital,venture,NA,2003-07-01,NA
247 Techies,Hardware + Software,500 Startups,seed,NA,2012-11-05,6e+05
247 Techies,Hardware + Software,Shailesh Rao,seed,NA,2012-11-05,6e+05
25eight,DIY|Electronics|Software,Innovation Works,seed,NA,2010-01-26,25000
27 bards,Software|Tourism,Rothenberg Ventures,seed,NA,2012-11-06,NA
280 North,Presentations|Software,Lowercase Capital,angel,NA,2008-03-01,250000
280 North,Presentations|Software,Y Combinator,seed,NA,2008-01-01,NA
280 North,Presentations|Software,Paul Buchheit,angel,NA,2008-03-01,250000
2lemetry,Internet of Things|M2M|Software,Salesforce Ventures,venture,NA,2015-01-09,4e+06
2Morrow Inc,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,Alliance of Angels,debt_financing,NA,2015-03-16,50000
"2nd Story Software, Inc.",Software,TA Associates,private_equity,NA,2005-03-30,8.5e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Columbia Capital,venture,C,2014-10-14,1e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Columbia Capital,venture,C,2013-11-05,2.3e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Madrona Venture Group,venture,C,2014-10-14,1e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Madrona Venture Group,venture,C,2013-11-05,2.3e+07
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,Top Tier Capital Partners,venture,C,2014-10-14,1e+07
2U Inc.,EdTech|Education|Software,Bessemer Venture Partners,venture,D,2013-10-21,5100000
2U Inc.,EdTech|Education|Software,Bessemer Venture Partners,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Bessemer Venture Partners,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,City Light Capital,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,City Light Capital,venture,A,2009-06-21,1e+07
2U Inc.,EdTech|Education|Software,City Light Capital,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,City Light Capital,venture,B,2010-02-05,2e+07
2U Inc.,EdTech|Education|Software,Highland Capital Partners,venture,D,2013-10-21,5100000
2U Inc.,EdTech|Education|Software,Highland Capital Partners,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Highland Capital Partners,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,Highland Capital Partners,venture,B,2010-02-05,2e+07
2U Inc.,EdTech|Education|Software,Hillman Ventures,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Novak Biddle Venture Partners,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Novak Biddle Venture Partners,venture,A,2009-06-21,1e+07
2U Inc.,EdTech|Education|Software,Novak Biddle Venture Partners,venture,C,2011-03-10,32500000
2U Inc.,EdTech|Education|Software,Novak Biddle Venture Partners,venture,B,2010-02-05,2e+07
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,D,2013-10-21,5100000
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,D,2012-04-02,2.6e+07
2U Inc.,EdTech|Education|Software,Redpoint Ventures,venture,A,2009-06-21,1e+07
